id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
18	borgatti (1997)	"<table><tr><td>Authors:</td><td>borgatti, sp; everett, mg</td></tr><tr><td>Title:</td><td>network analysis of 2-mode data</td></tr><tr><td>Source:</td><td>social networks, 19(3), 243-269</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1016/s0378-8733(96)00301-2	-0.726	0.065	6	48	624	6.005	1997	624	6.005
19	stephenson (1989)	"<table><tr><td>Authors:</td><td>stephenson, k; zelen, m</td></tr><tr><td>Title:</td><td>rethinking centrality - methods and examples</td></tr><tr><td>Source:</td><td>social networks, 11(1), 1-37</td></tr><tr><td>Year:</td><td>1989</td></tr></table>"	https://doi.org/10.1016/0378-8733(89)90016-6	-0.6755	-0.0615	18	29	601	5.9505	1989	601	5.9505
20	krackhardt (1987a)	"<table><tr><td>Authors:</td><td>krackhardt, d</td></tr><tr><td>Title:</td><td>cognitive social-structures</td></tr><tr><td>Source:</td><td>social networks, 9(2), 109-134</td></tr><tr><td>Year:</td><td>1987</td></tr></table>"	https://doi.org/10.1016/0378-8733(87)90009-8	0.0372	-0.2779	11	76	596	8.1273	1987	596	8.1273
21	kossinets (2006)	"<table><tr><td>Authors:</td><td>kossinets, gueorgi</td></tr><tr><td>Title:</td><td>effects of missing data in social networks</td></tr><tr><td>Source:</td><td>social networks, 28(3), 247-268</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.socnet.2005.07.002	0.0805	0.0975	14	43	583	5.5847	2006	583	5.5847
22	brandes (2008)	"<table><tr><td>Authors:</td><td>brandes, ulrik</td></tr><tr><td>Title:</td><td>on variants of shortest-path betweenness centrality and their generic computation</td></tr><tr><td>Source:</td><td>social networks, 30(2), 136-145</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.socnet.2007.11.001	-0.3346	0.1163	6	22	581	6.5205	2008	581	6.5205
23	lin (1986)	"<table><tr><td>Authors:</td><td>lin, n; dumin, m</td></tr><tr><td>Title:</td><td>access to occupations through social ties</td></tr><tr><td>Source:</td><td>social networks, 8(4), 365-385</td></tr><tr><td>Year:</td><td>1986</td></tr></table>"	https://doi.org/10.1016/0378-8733(86)90003-1	0.8885	0.2832	3	52	578	8.0464	1986	578	8.0464
24	valente (1996)	"<table><tr><td>Authors:</td><td>valente, tw</td></tr><tr><td>Title:</td><td>social network thresholds in the diffusion of innovations</td></tr><tr><td>Source:</td><td>social networks, 18(1), 69-89</td></tr><tr><td>Year:</td><td>1996</td></tr></table>"	https://doi.org/10.1016/0378-8733(95)00256-1	0.0432	-0.3042	25	20	570	8.1312	1996	570	8.1312
25	hummon (1989)	"<table><tr><td>Authors:</td><td>hummon, np; doreian, p</td></tr><tr><td>Title:</td><td>connectivity in a citation network - the development of dna theory</td></tr><tr><td>Source:</td><td>social networks, 11(1), 39-63</td></tr><tr><td>Year:</td><td>1989</td></tr></table>"	https://doi.org/10.1016/0378-8733(89)90017-8	-0.8408	-0.6167	1	6	546	5.4059	1989	546	5.4059
26	costenbader (2003)	"<table><tr><td>Authors:</td><td>costenbader, e; valente, tw</td></tr><tr><td>Title:</td><td>the stability of centrality measures when networks are sampled</td></tr><tr><td>Source:</td><td>social networks, 25(4), 283-307</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s0378-8733(03)00012-1	-0.0769	-0.3132	6	36	514	2.5572	2003	514	2.5572
27	lewis (2008)	"<table><tr><td>Authors:</td><td>lewis, kevin; kaufman, jason; gonzalez, marco; wimmer, andreas; christakis, nicholas</td></tr><tr><td>Title:</td><td>tastes, ties, and time: a new social network dataset using facebook.com</td></tr><tr><td>Source:</td><td>social networks, 30(4), 330-342</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.socnet.2008.07.002	0.1149	-0.1494	13	29	508	5.7012	2008	508	5.7012
28	robins (2007b)	"<table><tr><td>Authors:</td><td>robins, garry; snijders, tom; wang, peng; handcock, mark; pattison, philippa</td></tr><tr><td>Title:</td><td>recent developments in exponential random graph (<i>p</i>*) models for social networks</td></tr><tr><td>Source:</td><td>social networks, 29(2), 192-215</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.socnet.2006.08.003	-0.1106	0.5458	10	62	494	4.3725	2007	494	4.3725
29	marsden (1988)	"<table><tr><td>Authors:</td><td>marsden, pv</td></tr><tr><td>Title:</td><td>homogeneity in confiding relations</td></tr><tr><td>Source:</td><td>social networks, 10(1), 57-76</td></tr><tr><td>Year:</td><td>1988</td></tr></table>"	https://doi.org/10.1016/0378-8733(88)90010-x	0.5524	-0.1129	5	32	480	5.6964	1988	480	5.6964
30	krackhardt (1987b)	"<table><tr><td>Authors:</td><td>krackhardt, d</td></tr><tr><td>Title:</td><td>qap partialling as a test of spuriousness</td></tr><tr><td>Source:</td><td>social networks, 9(2), 171-186</td></tr><tr><td>Year:</td><td>1987</td></tr></table>"	https://doi.org/10.1016/0378-8733(87)90012-8	-0.0039	0.4084	16	22	398	5.4273	1987	398	5.4273
31	freeman (1980)	"<table><tr><td>Authors:</td><td>freeman, lc; roeder, d; mulholland, rr</td></tr><tr><td>Title:</td><td>centrality in social networks .2. experimental results</td></tr><tr><td>Source:</td><td>social networks, 2(2), 119-141</td></tr><tr><td>Year:</td><td>1980</td></tr></table>"	https://doi.org/10.1016/0378-8733(79)90002-9	-0.4444	-0.087	6	14	394	7.631	1980	394	7.631
32	campbell (1986)	"<table><tr><td>Authors:</td><td>campbell, ke; marsden, pv; hurlbert, js</td></tr><tr><td>Title:</td><td>social resources and socioeconomic-status</td></tr><tr><td>Source:</td><td>social networks, 8(1), 97-117</td></tr><tr><td>Year:</td><td>1986</td></tr></table>"	https://doi.org/10.1016/s0378-8733(86)80017-x	0.8956	0.0701	3	37	391	5.4432	1986	391	5.4432
33	borgatti (2006b)	"<table><tr><td>Authors:</td><td>borgatti, sp; carley, km; krackhardt, d</td></tr><tr><td>Title:</td><td>on the robustness of centrality measures under conditions of imperfect data</td></tr><tr><td>Source:</td><td>social networks, 28(2), 124-136</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.socnet.2005.05.001	-0.1146	-0.3708	6	29	387	3.7072	2006	387	3.7072
34	latapy (2008)	"<table><tr><td>Authors:</td><td>latapy, matthieu; magnien, clemence; del vecchio, nathalie</td></tr><tr><td>Title:</td><td>basic notions for the analysis of large two-mode networks</td></tr><tr><td>Source:</td><td>social networks, 30(1), 31-48</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.socnet.2007.04.006	-0.7055	0.1263	16	25	379	4.2535	2008	379	4.2535
35	everett (2005)	"<table><tr><td>Authors:</td><td>everett, m; borgatti, sp</td></tr><tr><td>Title:</td><td>ego network betweenness</td></tr><tr><td>Source:</td><td>social networks, 27(1), 31-38</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2004.11.007	0.2421	-0.131	13	13	379	1.6252	2005	379	1.6252
36	leenders (2002)	"<table><tr><td>Authors:</td><td>leenders, rtaj</td></tr><tr><td>Title:</td><td>modeling social influence through network autocorrelation: constructing the weight matrix</td></tr><tr><td>Source:</td><td>social networks, 24(1), 21-47</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0378-8733(01)00049-1	-0.1585	0.002	14	25	376	5.4219	2002	376	5.4219
37	takhteyev (2012)	"<table><tr><td>Authors:</td><td>takhteyev, yuri; gruzd, anatoliy; wellman, barry</td></tr><tr><td>Title:</td><td>geography of twitter networks</td></tr><tr><td>Source:</td><td>social networks, 34(1), 73-81</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2011.05.006	0.3522	0.0197	13	6	349	6.3455	2012	349	6.3455
38	marsden (2002)	"<table><tr><td>Authors:</td><td>marsden, pv</td></tr><tr><td>Title:</td><td>egocentric and sociocentric measures of network centrality</td></tr><tr><td>Source:</td><td>social networks, 24(4), 407-422</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0378-8733(02)00016-3	0.1613	-0.3601	9	15	343	4.9461	2002	343	4.9461
39	van der gaag (2005)	"<table><tr><td>Authors:</td><td>van der gaag, m; snijders, tab</td></tr><tr><td>Title:</td><td>the resource generator: social capital quantification with concrete</td></tr><tr><td>Source:</td><td>social networks, 27(1), 1-29</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2004.10.001	0.9528	0.198	3	26	335	1.4365	2005	335	1.4365
40	hunter (2007)	"<table><tr><td>Authors:</td><td>hunter, david r.</td></tr><tr><td>Title:</td><td>curved exponential family models for social networks</td></tr><tr><td>Source:</td><td>social networks, 29(2), 216-230</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.socnet.2006.08.005	-0.0422	0.4267	10	45	326	2.8855	2007	326	2.8855
41	sparrow (1991)	"<table><tr><td>Authors:</td><td>sparrow, mk</td></tr><tr><td>Title:</td><td>the application of network analysis to criminal intelligence - an assessment of the prospects</td></tr><tr><td>Source:</td><td>social networks, 13(3), 251-274</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"	https://doi.org/10.1016/0378-8733(91)90008-h	-0.6049	-0.0792	8	33	325	3.2002	1991	325	3.2002
42	pool (1978)	"<table><tr><td>Authors:</td><td>pool, id; kochen, m</td></tr><tr><td>Title:</td><td>contacts and influence</td></tr><tr><td>Source:</td><td>social networks, 1(1), 5-51</td></tr><tr><td>Year:</td><td>1978</td></tr></table>"	https://doi.org/10.1016/0378-8733(78)90011-4	0.5968	-0.6646	12	42	323	3.0652	1978	323	3.0652
43	burt (2002)	"<table><tr><td>Authors:</td><td>burt, rs</td></tr><tr><td>Title:</td><td>bridge decay</td></tr><tr><td>Source:</td><td>social networks, 24(4), 333-363</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0378-8733(02)00017-5	0.472	-0.092	2	23	319	4.6	2002	319	4.6
44	burt (1997)	"<table><tr><td>Authors:</td><td>burt, rs</td></tr><tr><td>Title:</td><td>a note on social capital and network content</td></tr><tr><td>Source:</td><td>social networks, 19(4), 355-373</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1016/s0378-8733(97)00003-8	0.2382	-0.2291	20	19	317	3.0506	1997	317	3.0506
45	faust (1997)	"<table><tr><td>Authors:</td><td>faust, k</td></tr><tr><td>Title:</td><td>centrality in affiliation networks</td></tr><tr><td>Source:</td><td>social networks, 19(2), 157-191</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1016/s0378-8733(96)00300-0	-0.6883	-0.0605	6	23	315	3.0314	1997	315	3.0314
46	ruhnau (2000)	"<table><tr><td>Authors:</td><td>ruhnau, b</td></tr><tr><td>Title:</td><td>eigenvector-centrality - a node-centrality?</td></tr><tr><td>Source:</td><td>social networks, 22(4), 357-365</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s0378-8733(00)00031-9	-0.781	0.2271	6	8	312	3.7055	2000	312	3.7055
47	hage (1995)	"<table><tr><td>Authors:</td><td>hage, p; harary, f</td></tr><tr><td>Title:</td><td>eccentricity and centrality in networks</td></tr><tr><td>Source:</td><td>social networks, 17(1), 57-63</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	https://doi.org/10.1016/0378-8733(94)00248-9	-0.8784	0.1333	6	3	288	4.0723	1995	288	4.0723
48	stiller (2007)	"<table><tr><td>Authors:</td><td>stiller, james; dunbar, r. i. m.</td></tr><tr><td>Title:</td><td>perspective-taking and memory capacity predict social network size</td></tr><tr><td>Source:</td><td>social networks, 29(1), 93-104</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.socnet.2006.04.001	0.7053	-0.0847	12	15	281	2.4872	2007	281	2.4872
49	burt (2000)	"<table><tr><td>Authors:</td><td>burt, rs</td></tr><tr><td>Title:</td><td>decay functions</td></tr><tr><td>Source:</td><td>social networks, 22(1), 1-28</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s0378-8733(99)00015-5	0.0244	-0.3198	27	53	278	3.3017	2000	278	3.3017
50	cummings (2003)	"<table><tr><td>Authors:</td><td>cummings, jn; cross, r</td></tr><tr><td>Title:</td><td>structural properties of work groups and their consequences for performance</td></tr><tr><td>Source:</td><td>social networks, 25(3), 197-210</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s0378-8733(02)00049-7	-0.4153	-0.211	7	13	275	1.3682	2003	275	1.3682
51	opsahl (2013)	"<table><tr><td>Authors:</td><td>opsahl, tore</td></tr><tr><td>Title:</td><td>triadic closure in two-mode networks: redefining the global and local clustering coefficients</td></tr><tr><td>Source:</td><td>social networks, 35(2), 159-167</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.socnet.2011.07.001	-0.5685	0.1043	7	11	274	5.2896	2013	274	5.2896
52	adamic (2005)	"<table><tr><td>Authors:</td><td>adamic, l; adar, e</td></tr><tr><td>Title:</td><td>how to search a social network</td></tr><tr><td>Source:</td><td>social networks, 27(3), 187-203</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2005.01.007	0.51	-0.6532	12	5	269	1.1535	2005	269	1.1535
53	roberts (2009)	"<table><tr><td>Authors:</td><td>roberts, sam g. b.; dunbar, robin i. m.; pollet, thomas v.; kuppens, toon</td></tr><tr><td>Title:</td><td>exploring variation in active network size: constraints and ego characteristics</td></tr><tr><td>Source:</td><td>social networks, 31(2), 138-146</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.socnet.2008.12.002	0.7612	-0.1414	12	28	252	2.5773	2009	252	2.5773
54	dunbar (2015)	"<table><tr><td>Authors:</td><td>dunbar, r. i. m.; arnaboldi, valerio; conti, marco; passarella, andrea</td></tr><tr><td>Title:</td><td>the structure of online social networks mirrors those in the offline world</td></tr><tr><td>Source:</td><td>social networks, 43, 39-47</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.socnet.2015.04.005	0.4888	0.1176	12	14	241	6.1401	2015	241	6.1401
55	kalish (2006)	"<table><tr><td>Authors:</td><td>kalish, y; robins, g</td></tr><tr><td>Title:</td><td>psychological predispositions and network structure: the relationship between individual predispositions, structural holes and network closure</td></tr><tr><td>Source:</td><td>social networks, 28(1), 56-84</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.socnet.2005.04.004	0.4031	0.1916	8	30	234	2.2415	2006	234	2.2415
56	cross (2001)	"<table><tr><td>Authors:</td><td>cross, r; borgatti, sp; parker, a</td></tr><tr><td>Title:</td><td>beyond answers: dimensions of the advice network</td></tr><tr><td>Source:</td><td>social networks, 23(3), 215-235</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/10.1016/s0378-8733(01)00041-7	0.2144	0.246	24	16	234	1.9775	2001	234	1.9775
57	morris (1995)	"<table><tr><td>Authors:</td><td>morris, m; kretzschmar, m</td></tr><tr><td>Title:</td><td>concurrent partnerships and transmission dynamics in networks</td></tr><tr><td>Source:</td><td>social networks, 17(3-4), 299-318</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	https://doi.org/10.1016/0378-8733(95)00268-s	-0.0519	-0.3527	4	5	233	3.2946	1995	233	3.2946
58	wang (2013a)	"<table><tr><td>Authors:</td><td>wang, peng; robins, garry; pattison, philippa; lazega, emmanuel</td></tr><tr><td>Title:</td><td>exponential random graph models for multilevel networks</td></tr><tr><td>Source:</td><td>social networks, 35(1), 96-115</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.socnet.2013.01.004	-0.268	0.4256	15	47	232	4.4788	2013	232	4.4788
59	campbell (1991)	"<table><tr><td>Authors:</td><td>campbell, ke; lee, ba</td></tr><tr><td>Title:</td><td>name generators in surveys of personal networks</td></tr><tr><td>Source:</td><td>social networks, 13(3), 203-221</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"	https://doi.org/10.1016/0378-8733(91)90006-f	0.7594	-0.4498	5	37	230	2.2648	1991	230	2.2648
60	louch (2000)	"<table><tr><td>Authors:</td><td>louch, h</td></tr><tr><td>Title:</td><td>personal network integration: transitivity and homophily in strong-tie relations</td></tr><tr><td>Source:</td><td>social networks, 22(1), 45-64</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s0378-8733(00)00015-0	0.7381	0.1238	3	27	223	2.6485	2000	223	2.6485
61	white (1983)	"<table><tr><td>Authors:</td><td>white, dr; reitz, kp</td></tr><tr><td>Title:</td><td>graph and semigroup homomorphisms on networks of relations</td></tr><tr><td>Source:</td><td>social networks, 5(2), 193-234</td></tr><tr><td>Year:</td><td>1983</td></tr></table>"	https://doi.org/10.1016/0378-8733(83)90025-4	-1.1067	-0.553	1	42	221	1.5189	1983	221	1.5189
62	brewer (2000a)	"<table><tr><td>Authors:</td><td>brewer, dd</td></tr><tr><td>Title:</td><td>forgetting in the recall-based elicitation of personal and social networks</td></tr><tr><td>Source:</td><td>social networks, 22(1), 29-43</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s0378-8733(99)00017-9	0.6647	-0.6055	5	63	219	2.601	2000	219	2.601
63	boxman (1991)	"<table><tr><td>Authors:</td><td>boxman, eaw; degraaf, pm; flap, hd</td></tr><tr><td>Title:</td><td>the impact of social and human-capital on the income attainment of dutch managers</td></tr><tr><td>Source:</td><td>social networks, 13(1), 51-73</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"	https://doi.org/10.1016/0378-8733(91)90013-j	0.996	0.3879	3	12	213	2.0974	1991	213	2.0974
64	boyd (1989)	"<table><tr><td>Authors:</td><td>boyd, r; richerson, pj</td></tr><tr><td>Title:</td><td>the evolution of indirect reciprocity</td></tr><tr><td>Source:</td><td>social networks, 11(3), 213-236</td></tr><tr><td>Year:</td><td>1989</td></tr></table>"	https://doi.org/10.1016/0378-8733(89)90003-8	0.1627	-0.6196	11	1	212	2.099	1989	212	2.099
65	robins (2009)	"<table><tr><td>Authors:</td><td>robins, garry; pattison, pip; wang, peng</td></tr><tr><td>Title:</td><td>closure, connectivity and degree distributions: exponential random graph (<i>p</i>*) models for directed social networks</td></tr><tr><td>Source:</td><td>social networks, 31(2), 105-117</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.socnet.2008.10.006	-0.0854	0.4814	15	44	210	2.1477	2009	210	2.1477
66	goodreau (2007)	"<table><tr><td>Authors:</td><td>goodreau, steven m.</td></tr><tr><td>Title:</td><td>advances in exponential random graph (<i>p*</i>) models applied to a large social network</td></tr><tr><td>Source:</td><td>social networks, 29(2), 231-248</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.socnet.2006.08.001	-0.2262	0.3697	10	23	210	1.8588	2007	210	1.8588
67	lazega (1999)	"<table><tr><td>Authors:</td><td>lazega, e; pattison, pe</td></tr><tr><td>Title:</td><td>multiplexity, generalized exchange and cooperation in organizations: a case study</td></tr><tr><td>Source:</td><td>social networks, 21(1), 67-90</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	https://doi.org/10.1016/s0378-8733(99)00002-7	0.1533	0.5012	22	39	210	1.6204	1999	210	1.6204
68	grund (2012)	"<table><tr><td>Authors:</td><td>grund, thomas u.</td></tr><tr><td>Title:</td><td>network structure and team performance: the case of english premier league soccer teams</td></tr><tr><td>Source:</td><td>social networks, 34(4), 682-690</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2012.08.004	-0.2736	-0.1002	7	14	209	3.8	2012	209	3.8
69	casciaro (1998)	"<table><tr><td>Authors:</td><td>casciaro, t</td></tr><tr><td>Title:</td><td>seeing things clearly: social structure, personality, and accuracy in social network perception</td></tr><tr><td>Source:</td><td>social networks, 20(4), 331-351</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"	https://doi.org/10.1016/s0378-8733(98)00008-2	0.3959	-0.1168	11	35	208	3.4694	1998	208	3.4694
70	kalmijn (2003)	"<table><tr><td>Authors:</td><td>kalmijn, m</td></tr><tr><td>Title:</td><td>shared friendship networks and the life course: an analysis of survey data on married and cohabiting couples</td></tr><tr><td>Source:</td><td>social networks, 25(3), 231-249</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s0378-8733(03)00010-8	0.9298	0.0115	2	22	199	0.99	2003	199	0.99
