Funding Agencies                             	   Record Count	         % of 547
TES DEPARTMENT OF ENERGY OFFICE OF SCIENCE   	               	          
ARC ACTION DE RECHERCHE CONCERTE ON MINING AN	              1	     0.183
D OPTIMIZATION OF BIG DATA MODELS BY THE WALLONIA BRUSSELS FEDERATION	               	          
ARC FEDERATION WALLONIA BRUXELLES ON BIG DATA	              1	     0.183
MODELS AND METHODS                           	               	          
ARCADIA GRANT                                	              1	     0.183
ARMY RESEARCH LAB NETWORK SCIENCE COLLABORATI	              1	     0.183
VE TECHNOLOGY ALLIANCE                       	               	          
ARMY RESEARCH OFFICE                         	              8	     1.463
ARMY RESEARCH OFFICE ARO                     	              1	     0.183
ARMY RESEARCH OFFICE NETWORK SCIENCE PROGRAM 	              1	     0.183
ARTS HUMANITIES RESEARCH COUNCIL AHRC        	              1	     0.183
AUSTRALIAN GOVERNMENT                        	              3	     0.548
AUSTRALIAN MATHEMATICAL SCIENCES INSTITUTE AM	              1	     0.183
SI                                           	               	          
AUSTRALIAN MATHEMATICAL SCIENCES INSTITUTE VA	              1	     0.183
CATION RESEARCH SCHOLARSHIP                  	               	          
AUSTRALIAN NATIONAL UNIVERSITY               	              1	     0.183
AUSTRALIAN RESEARCH COUNCIL                  	              7	     1.280
AUSTRIAN ACADEMY OF SCIENCES OAW VIA AN APART	              1	     0.183
BARRETT THE HONORS COLLEGE AT ARIZONA STATE U	              1	     0.183
NIVERSITY                                    	               	          
BASIC RESEARCH PROGRAM OF THE NATIONAL RESEAR	              1	     0.183
CH UNIVERSITY HIGHER SCHOOL OF ECONOMICS     	               	          
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NA	              1	     0.183
TIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE ICT FUTURE PLANNING	               	          
BASIS FOUNDATION FELLOWSHIP                  	              2	     0.366
BAVARIAN STATE MINISTRY FOR SCIENCE AND ARTS 	              1	     0.183
BELGIAN FEDERAL SCIENCE POLICY OFFICE        	              3	     0.548
BELGIAN PROGRAMME OF INTERUNIVERSITY ATTRACTI	              1	     0.183
ON POLES                                     	               	          
BHARTI CENTRE FOR COMMUNICATION AT IIT BOMBAY	              1	     0.183
BILATERAL NATIONAL SCIENCE FOUNDATION BIOTECH	              1	     0.183
NOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL	               	          
BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARC	              1	     0.183
H COUNCIL BBSRC                              	               	          
BITUNAM                                      	              2	     0.366
BITUNAM PROJECT                              	              1	     0.183
BLOOM AGENCY                                 	              1	     0.183
BOXREC COM                                   	              2	     0.366
BRAIN PROGRAM OF THE IDEAS RESEARCH CENTER   	              1	     0.183
BRAZILIAN RESEARCH AGENCIES CNPQ INERGE      	              1	     0.183
BRISTOL MYERS SQUIBB                         	              1	     0.183
BRUFENCE PROJECT INNOVIRIS REGION BRUXELLOISE	              1	     0.183
BELGIUM                                      	               	          
BUPT EXCELLENT PH D STUDENTS FOUNDATION      	              1	     0.183
BURROUGHS WELLCOME FUND                      	              1	     0.183
CAPES BRAZIL SAO PAULO RESEARCH FOUNDATION FA	              1	     0.183
PESP                                         	               	          
CARLSBERG FOUNDATION                         	              1	     0.183
CENTER FOR COMMUNICABLE DISEASE DYNAMICS DEPA	              1	     0.183
RTMENT OF EPIDEMIOLOGY HARVARD SCHOOL OF PUBLIC HEALTH FROM THE NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES	               	          
CENTER FOR UNCERTAIN SYSTEMS TOOLS FOR OPTIMI	              1	     0.183
ZATION MANAGEMENT CUSTOM VISHWAMITRA RESEARCH INSTITUTE USA	               	          
CENTER OF EXCELLENCE AND APPROPRIATION IN BIG	              1	     0.183
DATA AND DATA ANALYTICS CAOBA AT THE PONTIFICIA UNIVERSIDAD JAVERIANA	               	          
CENTRE FOR QUANTUM TECHNOLOGIES SINGAPORE    	              1	     0.183
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	              1	     0.183
CNRS PEPS MOMIS URBIORBI                     	               	          
CGIAR                                        	              5	     0.914
CHINA POSTDOCTORAL SCIENCE FOUNDATION        	              2	     0.366
CHINA SCHOLARSHIP COUNCIL                    	              3	     0.548
CHINESE ACADEMY OF SCIENCES                  	              1	     0.183
CLARKSON UNIVERSITY SPACE GRANT PROGRAM AN AF	              1	     0.183
FILIATE OF THE NEW YORK NASA SPACE GRANT CONSORTIUM	               	          
CNRS MISSION POUR L INTERDISCIPLINARITE MASTO	              1	     0.183
DONS                                         	               	          
CNRST OF MOROCCO                             	              1	     0.183
COLEGIO DE CIENCIA Y TECNOLOGIA CCYT         	              1	     0.183
COLLEGIUM TALENTUM PROGRAMME OF HUNGARY      	              1	     0.183
COLOMBIAN MINISTRY OF SCIENCE GRANT          	              1	     0.183
COMBAT CAPABILITIES DEVELOPMENT COMMAND ARMY 	              3	     0.548
RESEARCH LABORATORY                          	               	          
COMMITTEE OF RESEARCH CODI OF THE UNIVERSITY 	              1	     0.183
OF ANTIOQUIA                                 	               	          
COMPAGNIA DI SAN PAOLO                       	              1	     0.183
COMUNIDAD DE ARAGON SPAIN                    	              1	     0.183
CONCERTED RESEARCH ACTION ARC FEDERATION WALL	              1	     0.183
ONIA BRUSSELS                                	               	          
CONCERTED RESEARCH ACTION ARC PROGRAMME FEDER	              1	     0.183
ATION WALLONIA BRUSSELS                      	               	          
CONNECT PROGRAMM DER ALEXANDER VON HUMBOLD ST	              1	     0.183
IFTUNG                                       	               	          
CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA CONA	              5	     0.914
CYT                                          	               	          
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFIC	              2	     0.366
AS Y TECNICAS CONICET                        	               	          
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFI	             24	     4.388
CO E TECNOLOGICO CNPQ                        	               	          
CONSILIUL NATIONAL AL CERCETARII STIINTIFICE 	              2	     0.366
CNCS                                         	               	          
COOPERATIVE RESEARCH CENTRES CRC PROGRAMME   	              1	     0.183
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE 	             13	     2.377
NIVEL SUPERIOR CAPES                         	               	          
CORE RESEARCH FOR EVOLUTIONAL SCIENCE AND TEC	              1	     0.183
HNOLOGY CREST                                	               	          
COUNCIL FOR RESEARCH OF THE BABES BOLYAI UNIV	              1	     0.183
ERSITY                                       	               	          
COUNCIL OF HIGHER EDUCATION YOK IN TURKEY UND	              1	     0.183
ER 100 2000 PROGRAM                          	               	          
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSI	              3	     0.548
R INDIA                                      	               	          
CRISIS LAB PROJECT                           	              1	     0.183
CRITEO                                       	              1	     0.183
CYBER VALLEY RESEARCH FUND                   	              2	     0.366
DAME KATHLEEN OLLERENSHAW RESEARCH FELLOWSHIP	              1	     0.183
DEFENSE ADVANCED RESEARCH PROJECTS AGENCY DAR	              7	     1.280
PA                                           	               	          
DEFENSE THREAT REDUCTION AGENCY              	              5	     0.914
DEFENSE THREAT REDUCTION AGENCY ROBUST NETWOR	              1	     0.183
K INTERDICTION UNDER UNCERTAINTY             	               	          
DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOL	              4	     0.731
OGIA E INNOVACION COLCIENCIAS                	               	          
DEPARTAMENTO DE INDUSTRIA E INNOVACION DEL GO	              1	     0.183
BIERNO DE ARAGON Y FONDO SOCIAL EUROPEO      	               	          
DEPARTMENT OF ATOMIC ENERGY DAE              	              1	     0.183
DEPARTMENT OF BIOTECHNOLOGY DBT INDIA        	              1	     0.183
DEPARTMENT OF ENERGY AT THE LOS ALAMOS NATION	              1	     0.183
AL LABORATORY THROUGH THE LABORATORY DIRECTED RESEARCH AND DEVELOPMENT PROGRAMME	               	          
DEPARTMENT OF EXCELLENCE INITIATIVE OF THE IT	              1	     0.183
ALIAN MINISTRY OF UNIVERSITY AND RESEARCH    	               	          
DEPARTMENT OF INDUSTRY INNOVATION AND SCIENCE	              1	     0.183
DEPARTMENT OF SCIENCE AND TECHNOLOGY INSPIRE 	              1	     0.183
FELLOWSHIP MINISTRY OF SCIENCE AND TECHNOLOGY GOVERNMENT OF INDIA	               	          
DEPARTMENT OF SCIENCE AND TECHNOLOGY PROMOTIO	              1	     0.183
N OF UNIVERSITY RESEARCH AND SCIENTIFIC EXCELLENCE DST PURSE GOVERNMENT OF INDIA	               	          
DGA SPAIN                                    	              1	     0.183
DGAPA                                        	              1	     0.183
DIVISION OF COMPUTATIONAL BIOSCIENCE CENTER F	              1	     0.183
OR INFORMATION TECHNOLOGY                    	               	          
DIVISION OF INTERNATIONAL EPIDEMIOLOGY AND PO	              1	     0.183
PULATION STUDIES                             	               	          
DOCTORAL TRAINING CENTRE GRANT               	              1	     0.183
DOCTORAL TRAINING CENTRE IN COMPLEX SYSTEMS S	              1	     0.183
IMULATION                                    	               	          
DR PERRY JAMES BROWNE RESEARCH CENTRE AT THE 	              1	     0.183
UNIVERSITY OF SUSSEX                         	               	          
DST FIST SCHEME GOVERNMENT OF INDIA          	              1	     0.183
DST INSPIRE FACULTY FELLOWSHIP               	              1	     0.183
EARLY CAREER AWARD FROM THE LABORATORY DIRECT	              1	     0.183
ED RESEARCH AND DEVELOPMENT LDRD PROGRAM AT SANDIA NATIONAL LABORATORIES	               	          
EC FET PROACTIVE                             	              1	     0.183
EC FET PROACTIVE PROJECT MULTIPLEX           	              1	     0.183
ECONOMIC SOCIAL RESEARCH COUNCIL ESRC        	              1	     0.183
ELECTRICITE DE FRANCE EDF                    	              1	     0.183
ELIS IT PROJECT REGION WALLONNE              	              1	     0.183
ENGINEERING AND PHYSICAL SCIENCES COVID 19 SC	              1	     0.183
HEME                                         	               	          
ENGINEERING AND PHYSICAL SCIENCES RESEARCH CO	              1	     0.183
UNCIL CENTRE FOR DOCTORAL TRAINING IN COMPUTATIONAL METHODS MATERIALS SCIENCE	               	          
ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCI	             38	     6.947
L EPSRC                                      	               	          
ERRETT FISHER FOUNDATION                     	              1	     0.183
ESRC NETWORK PLUS PROJECT REBUILDING MACROECO	              1	     0.183
NOMICS TM                                    	               	          
ETH ZURICH RISK CENTER                       	              1	     0.183
EU HORIZON 2020 FET OPEN RIA PROJECT IBSEN   	              1	     0.183
EU HORIZON FET OPEN RIA PROJECT IBSEN        	              1	     0.183
EU NETWORK OF EXCELLENCE EINS                	              1	     0.183
EU PROJECT MULTIPLEX                         	              1	     0.183
EU VIA CON GAS                               	              1	     0.183
EUROPEAN COMMISSION EC REA                   	              1	     0.183
EUROPEAN COMMISSION FET PROACTIVE PROJECT MUL	              1	     0.183
TIPLEX                                       	               	          
EUROPEAN COMMISSION JOINT RESEARCH CENTRE    	              7	     1.280
EUROPEAN COMMISSION THROUGH THE EULER PART OF	              1	     0.183
THE FUTURE INTERNET RESEARCH AND EXPERIMENTATION FIRE	               	          
EUROPEAN COMMISSION WITHIN THE MARIE CURIE IN	              1	     0.183
DUSTRY AND ACADEMIA PARTNERSHIPS AND PATHWAYS IAPP PROGRAMME	               	          
EUROPEAN COMMUNITY S H2020 PROGRAM UNDER THE 	              1	     0.183
FUNDING SCHEME INFRAIA 01 2018 2019 RESEARCH AND INNOVATION ACTION	               	          
EUROPEAN COMMUNITY S PROGRAM                 	              1	     0.183
EUROPEAN COOPERATION FOR STATISTICS OF NETWOR	              1	     0.183
K DATA SCIENCE COSTNET COST ACTION           	               	          
EUROPEAN COOPERATION IN SCIENCE AND TECHNOLOG	              2	     0.366
Y COST                                       	               	          
EUROPEAN MOLECULAR BIOLOGY LABORATORY        	              1	     0.183
EUROPEAN RESEARCH COUNCIL ERC                	              6	     1.097
EUROPEAN SOCIAL FUND ESF                     	              1	     0.183
EUROPEAN SOCIAL FUND THROUGH PROJECT FUTURICT	              1	     0.183
HU                                           	               	          
EUROPEAN UNION EU                            	             21	     3.839
EUROPEAN UNION S HORIZON 2020 RESEARCH AND IN	              1	     0.183
NOVATION PROGRAM FIN TECH A FINANCIAL SUPERVISION AND TECHNOLOGY COMPLIANCE TRAINING PROGRAMME	               	          
FACULTY OF SCIENCE ENGINEERING AND BUILT ENVI	              1	     0.183
ROMENT DEAKIN UNIVERSITY                     	               	          
FCT FUNDAO PARA A CILNCIA E TECNOLOGIA       	              1	     0.183
FEDERATION WALLONIA BRUSSELS                 	              1	     0.183
FEDERATION WALLONIA BRUSSELS CONTRACT        	              1	     0.183
FET PROACTIVE PROJECT PLEXMATH EUROPEAN COMMI	              1	     0.183
SSION                                        	               	          
FINANCIADORA DE INOVACAO E PESQUISA FINEP    	              1	     0.183
FLAGSHIP EUROPEAN RESEARCH AREA NETWORK FLAG 	              3	     0.548
ERA JOINT TRANSNATIONAL CALL FUTURICT 2 0    	               	          
FMSP PROGRAM OF THE UNIVERSITY OF TOKYO      	              1	     0.183
FONCYT                                       	              1	     0.183
FONDO INSTITUCIONAL PIFCA                    	              1	     0.183
FONDS DE LA RECHERCHE SCIENTIFIQUE FNRS      	              2	     0.366
FOUNDATIONAL QUESTIONS INSTITUTE             	              1	     0.183
FPI PROGRAM OF THE GOVERNMENT OF ARAGON SPAIN	              1	     0.183
FRENCH GOVERNMENT                            	              1	     0.183
FUJITSU CONSULTING CANADA INC                	              1	     0.183
FUJITSU LIMITED                              	              1	     0.183
FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQ	              3	     0.548
UISA DO ESTADO DO RIO DE JANEIRO FAPERJ      	               	          
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MI	              5	     0.914
NAS GERAIS FAPEMIG                           	               	          
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SA	             13	     2.377
O PAULO FAPESP                               	               	          
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO RI	              1	     0.183
O DE JANEIRO FAPERJ JCNE                     	               	          
FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO E	              3	     0.548
STADO DE SANTA CATARINA FAPESC               	               	          
FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDE	              1	     0.183
RAL FAPDF                                    	               	          
FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT   	              3	     0.548
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UN	              3	     0.548
IVERSITIES                                   	               	          
FUNDAO PARA A CILNCIA E TECNOLOGIA           	              1	     0.183
FWO                                          	              2	     0.366
GATSBY FOUNDATION                            	              1	     0.183
GENERAL RESEARCH FUND GRANT                  	              1	     0.183
GENERALITAT DE CATALUNYA                     	              2	     0.366
GERMAN ISRAELI FOUNDATION FOR SCIENTIFIC RESE	              2	     0.366
ARCH AND DEVELOPMENT                         	               	          
GERMAN RESEARCH FOUNDATION DFG               	              8	     1.463
GLOBAL GOOD FUND THROUGH THE INSTITUTE FOR DI	              1	     0.183
SEASE MODELING                               	               	          
GLOBAL RISK INSTITUTE FOR FINANCIAL SERVICES 	              1	     0.183
IN TORONTO                                   	               	          
GOBIERNO DE ARAGON                           	              2	     0.366
GORDON AND BETTY MOORE FOUNDATION            	              1	     0.183
GOVERNMENT OF ARAGON SPAIN THROUGH FEDER     	              1	     0.183
GOVERNMENT OF ARAGON SPAIN THROUGH MINECO    	              1	     0.183
GRADUATE OFFICE OF THE UNIVERSITY OF ANTIOQUI	              1	     0.183
A DIRECCION DE POSGRADO                      	               	          
GRANTS IN AID FOR SCIENTIFIC RESEARCH KAKENHI	              8	     1.463
HEAL LINK                                    	              1	     0.183
HELLENIC FOUNDATION FOR RESEARCH AND INNOVATI	              1	     0.183
ON HFRI UNDER THE HFRI PHD FELLOWSHIP GRANT  	               	          
HELMSLEY AGRICULTURAL BRAIN AND ROBOTICS FUND	              1	     0.183
HIGHER EDUCATION COMMISSION OF PAKISTAN      	              1	     0.183
HIGHER EDUCATION EXCELLENCE PROGRAM OF THE MI	              1	     0.183
NISTRY OF HUMAN CAPACITIES OF BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS BME FIKP MI SC	               	          
HISTOGRAPH RESEARCH PROJECT                  	              1	     0.183
HONG KONG POLYTECHNIC UNIVERSITY             	              1	     0.183
HUBEI PROVINCE KEY LABORATORY OF SYSTEMS SCIE	              1	     0.183
NCE IN METALLURGICAL PROCESS WUHAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	               	          
HUMAN FRONTIER SCIENCE PROGRAM               	              1	     0.183
HUMANITIES AND SOCIAL SCIENCE FOUNDATION OF A	              1	     0.183
NHUI PROVINCE CHINA                          	               	          
HUNAN SCIENCE AND TECHNOLOGY PLAN PROJECT    	              1	     0.183
HUNGARIAN NATIONAL SCIENCE FOUNDATION        	              1	     0.183
HUNGARIAN NATIONAL SCIENCE FUND              	              1	     0.183
IAP INTERUNIVERSITY ATTRACTION POLE BELGIAN S	              1	     0.183
CIENCE POLICY OFFICE DYSCO ON DYNAMICAL SYSTEMS CONTROL AND OPTIMIZATION	               	          
ICREA                                        	              3	     0.548
IDEXLYON                                     	              1	     0.183
IGSSE                                        	              1	     0.183
IIMA RP GRANT                                	              1	     0.183
IISC MATHEMATICS GRANT                       	              1	     0.183
IIT BOMBAY                                   	              1	     0.183
INCIBE URJC                                  	              1	     0.183
INDO FRENCH CENTRE FOR THE PROMOTION OF ADVAN	              1	     0.183
CED RESEARCH IFCPAR CEFIPRA                  	               	          
INRIA ASSOCIATED TEAM EFDYNET                	              1	     0.183
INSTITUTE FOR CHEMICAL RESEARCH KYOTO UNIVERS	              1	     0.183
ITY                                          	               	          
INSTITUTO DE SALUD CARLOS III                	              1	     0.183
INTEGRATED INNOVATION DEMONSTRATION OF KEY TE	              1	     0.183
CHNOLOGIES IN SMART LYCIUM BARBARUM ORCHARD AND RESEARCH ON MATCHING HARVESTING MACHINERY	               	          
INTEL CORPORATION THROUGH THE INTEL PARALLEL 	              1	     0.183
COMPUTING CENTER AT THE UC DAVIS COMPLEXITY SCIENCES CENTER	               	          
INTERNATIONAL MAX PLANCK RESEARCH SCHOOL FOR 	              1	     0.183
INTELLIGENT SYSTEMS IMPRS IS                 	               	          
IPICYT SUPERCOMPUTING NATIONAL CENTER FOR EDU	              1	     0.183
CATION RESEARCH CNS IPICYT                   	               	          
IRAN NATIONAL SCIENCE FOUNDATION INSF        	              1	     0.183
ISI FOUNDATION                               	              1	     0.183
ISRAEL MINISTRY OF DEFENSE                   	              1	     0.183
ISRAEL SCIENCE FOUNDATION                    	              2	     0.366
ISTITUTO NAZIONALE DI ALTA MATEMATICA FRANCES	              1	     0.183
CO SEVERI GRUPPO NAZIONALE CALCOLO SCIENTIFICO INDAM GNCS	               	          
JACQUES HADAMARD MATHEMATICS FOUNDATION FMJH 	              1	     0.183
THROUGH THE GASPARD MONGE PROGRAM FOR OPTIMISATION AND OPERATIONAL RESEARCH PGMO	               	          
JAMES S MCDONNELL FOUNDATION                 	              8	     1.463
JAPAN SCIENCE TECHNOLOGY AGENCY JST          	              1	     0.183
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE   	              9	     1.645
JIANGSU OVERSEAS RESEARCH TRAINING PROGRAM FO	              1	     0.183
R UNIVERSITY PROMINENT YOUNG MIDDLE AGED TEACHERS AND PRESIDENTS	               	          
JIANGSU SOCIAL DEVELOPMENT SUPPORT PROJECT IN	              1	     0.183
CHINA                                        	               	          
JOHN D AND CATHERINE T MACARTHUR FOUNDATION  	              4	     0.731
JOHN E FOGARTY INTERNATIONAL CENTER UNITED ST	              1	     0.183
ATES NATIONAL INSTITUTES OF HEALTH           	               	          
JOHN TEMPLETON FOUNDATION                    	              1	     0.183
KEY PROGRAM OF SHANDONG NATURAL SCIENCE FOUND	              1	     0.183
ATION                                        	               	          
KEY RESEARCH PROGRAM OF FRONTIER SCIENCE OF C	              1	     0.183
HINESE ACADEMY OF SCIENCES                   	               	          
KEY SCIENTIFIC AND TECHNOLOGICAL PROJECTS IN 	              1	     0.183
THE HIGH TECH FIELD OF HENAN PROVINCE RESEARCH ON KEY TECHNOLOGY OF MACHINE VISION IN AI ENVIRONMENT	               	          
KEY SCIENTIFIC RESEARCH PROJECT OF COLLEGES A	              1	     0.183
ND UNIVERSITIES IN HENAN PROVINCE RESEARCH ON MACHINE VISION TECHNOLOGY IN ARTIFICIAL INTELLIGENCE ENVIRONMENT	               	          
KEY SCIENTIFIC RESEARCH PROJECT OF COLLEGES A	              1	     0.183
ND UNIVERSITIES IN HENAN PROVINCE RESEARCH ON MACHINE VISION TECHNOLOGY IN ARTIFICIAL INTELLIGENCE ENVIRONMENT PROJECT NO 22B520036 KEY SCIENTIFIC AND TECHNOLOGICAL PROJECTS IN THE HIGH TECH FIELD OF HENA	               	          
KNUT ALICE WALLENBERG FOUNDATION             	              2	     0.366
KONRAD ADENAUER FOUNDATION                   	              2	     0.366
KOREAN GOVERNMENT                            	              1	     0.183
LABORATORY DIRECTED RESEARCH DEVELOPMENT LDRD	              1	     0.183
PROGRAM AT SANDIA NATIONAL LABORATORIES      	               	          
LARKINS FELLOWSHIP FROM MONASH UNIVERSITY    	              1	     0.183
LEVERHULME TRUST                             	              2	     0.366
LICHTENBERG PROFESSORSHIP OF THE VOLKSWAGENST	              1	     0.183
IFTUNG                                       	               	          
LINC PROJECT                                 	              1	     0.183
LLNL LABORATORY RESEARCH AND DEVELOPMENT PROG	              1	     0.183
RAM                                          	               	          
LOUIS AND BESSIE STEIN FAMILY FELLOWSHIP FOR 	              1	     0.183
EXCHANGES WITH ISRAELI UNIVERSITIES          	               	          
MAKING SENSE PROJECT                         	              1	     0.183
MARIE CURIE ACTIONS                          	              5	     0.914
MARSDEN FUND NZ                              	              1	     0.183
MASSEY UNIVERSITY                            	              1	     0.183
MAX PLANCK ETH CENTER FOR LEARNING SYSTEMS   	              1	     0.183
MAX PLANCK INSTITUTE FOR MATHEMATICS IN THE S	              1	     0.183
CIENCES LEIPZIG                              	               	          
MAX PLANCK SOCIETY GERMANY THROUGH THE AWARD 	              1	     0.183
OF A MAX PLANCK PARTNER GROUP                	               	          
MCDONNELL FOUNDATION                         	              1	     0.183
MEDICAL RESEARCH COUNCIL UK MRC              	              2	     0.366
MEMORIAL UNIVERSITY                          	              1	     0.183
METAPROGRAMME INTEGRATED MANAGEMENT OF ANIMAL	              1	     0.183
HEALTH GISA OF THE NATIONAL INSTITUTE OF AGRICULTURAL RESEARCH INRA	               	          
MIMOMICS                                     	              1	     0.183
MINISTRY FOR CULTURE AND INNOVATION          	              1	     0.183
MINISTRY FOR INNOVATION AND TECHNOLOGY IN HUN	              1	     0.183
GARY                                         	               	          
MINISTRY OF DEFENSE GRANT THROUGH RAFAEL     	              1	     0.183
MINISTRY OF EDUCATION AND SCIENCE RUSSIAN FED	              1	     0.183
ERATION                                      	               	          
MINISTRY OF EDUCATION CULTURE SPORTS SCIENCE 	              9	     1.645
AND TECHNOLOGY JAPAN MEXT                    	               	          
MINISTRY OF EDUCATION MOE REPUBLIC OF KOREA  	              2	     0.366
MINISTRY OF EDUCATION SINGAPORE              	              1	     0.183
MINISTRY OF EDUCATION UNIVERSITIES AND RESEAR	              3	     0.548
CH MIUR                                      	               	          
MINISTRY OF INFORMATION TECHNOLOGIES AND TELE	              1	     0.183
COMMUNICATIONS OF COLOMBIA MINTIC            	               	          
MINISTRY OF SCIENCE AND INNOVATION SPAIN MICI	              2	     0.366
NN                                           	               	          
MINISTRY OF SCIENCE AND TECHNOLOGY TAIWAN    	              1	     0.183
MINISTRY OF SCIENCE ICT FUTURE PLANNING REPUB	              1	     0.183
LIC OF KOREA                                 	               	          
MINISTRY OF SCIENCE ICT MSIT REPUBLIC OF KORE	              1	     0.183
A                                            	               	          
MITACS ACCELERATE PHD AWARD                  	              1	     0.183
MONASH UNIVERSITY                            	              1	     0.183
MOVE IN FELLOWSHIP                           	              1	     0.183
MTA BME STOCHASTICS RESEARCH GROUP           	              1	     0.183
MULTINATIONAL INFLUENZA SEASONAL MORTALITY ST	              1	     0.183
UDY MISMS                                    	               	          
MULTIPLEX EU FET PROJECT                     	              1	     0.183
MULTIPLEX FP7 PROJECT FOUNDATIONAL RESEARCH O	              1	     0.183
N MULTILEVEL COMPLEX NETWORKS AND SYSTEMS    	               	          
MURI                                         	              2	     0.366
NAP PRP USP                                  	              1	     0.183
NATIONAL ACADEMY OF SCIENCES ALLAHABAD INDIA 	              1	     0.183
NATIONAL AERONAUTICS SPACE ADMINISTRATION NAS	              1	     0.183
A                                            	               	          
NATIONAL CENTER FOR SCIENTIFIC RESEARCH CNRS 	              1	     0.183
THROUGH THE PEPS PROJECT DORE                	               	          
NATIONAL HEALTH INSTITUTE                    	              1	     0.183
NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCE	              1	     0.183
S NIGMS AT THE UNITED STATES NATIONAL INSTITUTES OF HEALTH	               	          
NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCE	              1	     0.183
S OF THE NATIONAL INSTITUTES OF HEALTH NIH MODELS OF INFECTIOUS DISEASE AGENT STUDY MIDAS	               	          
NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCE	              1	     0.183
S PROGRAM FOR MODELS OF INFECTIOUS DISEASE AGENT STUDY	               	          
NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY 	              1	     0.183
IN DATA SCIENCE INCT CID                     	               	          
NATIONAL INSTITUTE OF STANDARDS TECHNOLOGY NI	              1	     0.183
ST USA                                       	               	          
