Affiliations                                 	   Record Count	         % of 547
CHINA MEDICAL UNIVERSITY HOSPITAL TAIWAN     	              2	     0.366
CHINA MEDICAL UNIVERSITY TAIWAN              	              2	     0.366
CHINA THREE GORGES UNIVERSITY                	              1	     0.183
CHINESE ACADEMY OF SCIENCES                  	              2	     0.366
CHINESE UNIVERSITY OF HONG KONG              	              1	     0.183
CHUEPE LABS                                  	              1	     0.183
CITY COLLEGE OF NEW YORK CUNY                	              1	     0.183
CITY UNIVERSITY OF HONG KONG                 	              1	     0.183
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM      	              1	     0.183
CLAREMONT COLLEGES                           	              1	     0.183
CLARKSON UNIVERSITY                          	              2	     0.366
CLEMSON UNIVERSITY                           	              2	     0.366
CLEVELAND CLINIC FOUNDATION                  	              2	     0.366
CNRS INSTITUTE FOR HUMANITIES SOCIAL SCIENCES	              2	     0.366
INSHS                                        	               	          
CNRS INSTITUTE OF PHYSICS INP                	              1	     0.183
COCHIN UNIVERSITY SCIENCE TECHNOLOGY         	              1	     0.183
COGNIT NEUROL ST JOSEPHS                     	              1	     0.183
COLEGIO FRONTERA NORTE                       	              1	     0.183
COLLEGE OF CHARLESTON                        	              1	     0.183
COLUMBIA UNIVERSITY                          	              3	     0.548
COMENIUS UNIVERSITY BRATISLAVA               	              1	     0.183
COMISION NACIONAL DE ENERGIA ATOMICA CNEA    	              2	     0.366
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH O	              1	     0.183
RGANISATION CSIRO                            	               	          
COMMUNICATION UNIVERSITY OF CHINA            	              2	     0.366
COMPETENCE CTR SCALABLE DATA SERV SOLUT DRESD	              1	     0.183
EN                                           	               	          
COMPLEX SCI CONSULTING                       	              1	     0.183
COMPLEX SCI HUB                              	              3	     0.548
COMPLEX SCI HUB VIENNA                       	              6	     1.097
CONACYT CTR GEO                              	              1	     0.183
CONACYT CTR MET                              	              1	     0.183
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFIC	              6	     1.097
AS Y TECNICAS CONICET                        	               	          
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFIC	              3	     0.548
AS CSIC                                      	               	          
CONSIGLIO NAZIONALE DELLE RICERCHE CNR       	              7	     1.280
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE 	              1	     0.183
NIVEL SUPERIOR CAPES                         	               	          
CORNELL UNIVERSITY                           	              5	     0.914
COVENTRY UNIVERSITY                          	              1	     0.183
CRACOW UNIVERSITY OF TECHNOLOGY              	              1	     0.183
CRANFIELD UNIVERSITY                         	              1	     0.183
CSIC UAM INSTITUT DE FISICA TEORICA IFT      	              2	     0.366
CSIC UIB INSTITUTO DE FISICA INTERDISCIPLINAR	              1	     0.183
Y SISTEMAS COMPLEJOS IFISC                   	               	          
CTR CIENCIAS COMPLEJ C3 UNAM                 	              1	     0.183
CTR COMPLEX SYST STUDIES                     	              1	     0.183
CTR INVEST MATEMAT AC                        	              1	     0.183
CWI                                          	              1	     0.183
CZECH TECHNICAL UNIVERSITY PRAGUE            	              1	     0.183
DARTMOUTH COLLEGE                            	              4	     0.731
DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA      	              1	     0.183
DAVIDSON COLLEGE                             	              1	     0.183
DEAKIN UNIVERSITY                            	              1	     0.183
DELFT UNIVERSITY OF TECHNOLOGY               	              9	     1.645
DENT NEUROL INST                             	              1	     0.183
DEPT MATH                                    	              1	     0.183
DEPT PHYS ASTRON                             	              1	     0.183
DEVCOM ARMY RES LAB                          	              2	     0.366
DEVI AHILYA UNIVERSITY                       	              1	     0.183
DREXEL UNIVERSITY                            	              2	     0.366
DUKE UNIVERSITY                              	              3	     0.548
DUZCE UNIVERSITY                             	              1	     0.183
EAST CHINA UNIVERSITY OF SCIENCE TECHNOLOGY  	              2	     0.366
EAST TENNESSEE STATE UNIVERSITY              	              1	     0.183
ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES 	              1	     0.183
EHESS                                        	               	          
ECOLE NATIONALE DE L AVIATION CIVILE ENAC    	              1	     0.183
ECOLE NORMALE SUPERIEURE DE LYON ENS DE LYON 	              3	     0.548
ECOLE NORMALE SUPERIEURE ENS                 	              1	     0.183
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE     	              1	     0.183
EDWARD S ROGERS SR DEPT ELECT COMP ENGN      	              1	     0.183
EGE UNIVERSITY                               	              1	     0.183
EHESS                                        	              2	     0.366
EINDHOVEN ARTIFICIAL INTELLIGENCE SYST INST E	              1	     0.183
AISI                                         	               	          
EINDHOVEN UNIVERSITY OF TECHNOLOGY           	              3	     0.548
ELECTRICITE DE FRANCE EDF                    	              1	     0.183
EMORY UNIVERSITY                             	              3	     0.548
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA E	              1	     0.183
MBRAPA                                       	               	          
ENERGY BUSINESS INTELLIGENCE SYST            	              1	     0.183
EOTVOS LORAND UNIVERSITY                     	              4	     0.731
EOTVOS LORDED UNIV BUDAPEST                  	              1	     0.183
ERDC RISK MODELING                           	              1	     0.183
ERICSSON TELECOMMUN                          	              1	     0.183
ERTIM                                        	              1	     0.183
ESCOLA DE POS GRADUACAO EM ECONOMIA EPGE     	              1	     0.183
ETH ZURICH                                   	              5	     0.914
EUROPEAN BIOINFORMATICS INSTITUTE            	              1	     0.183
EUROPEAN MOLECULAR BIOLOGY LABORATORY EMBL   	              1	     0.183
EUROPEAN UNIVERSITY INSTITUTE                	              1	     0.183
FED UNIV ABC                                 	              1	     0.183
FED UNIV BAHIA UFBA                          	              1	     0.183
FED UNIV RIO DE JANEIRO UFRJ                 	              3	     0.548
FEINBERG SCHOOL OF MEDICINE                  	              1	     0.183
FLAME UNIV                                   	              1	     0.183
FONDAZIONE BRUNO KESSLER                     	              4	     0.731
FOSHAN UNIVERSITY                            	              1	     0.183
FUDAN UNIVERSITY                             	              1	     0.183
FUNDACAO OSWALDO CRUZ                        	              2	     0.366
FURMAN UNIV                                  	              1	     0.183
GEORGE MASON UNIVERSITY                      	              2	     0.366
GEORGETOWN UNIVERSITY                        	              1	     0.183
GEORGIA INSTITUTE OF TECHNOLOGY              	              5	     0.914
GEORGIA STATE UNIVERSITY                     	              1	     0.183
GERMAN CTR INTEGRAT BIODIVERS RES IDIV       	              1	     0.183
GETULIO VARGAS FOUNDATION                    	              1	     0.183
GGS INDRAPRASTHA UNIVERSITY                  	              1	     0.183
GHENT UNIVERSITY                             	              2	     0.366
GRAN SASSO SCIENCE INSTITUTE GSSI            	              1	     0.183
GRINNELL COLL                                	              1	     0.183
GWANGJU INSTITUTE OF SCIENCE TECHNOLOGY GIST 	              1	     0.183
GYEONGNAM NATIONAL UNIVERSITY OF SCIENCE AND 	              1	     0.183
TECHNOLOGY                                   	               	          
HANGZHOU DIANZI UNIVERSITY                   	              1	     0.183
HANGZHOU NORMAL UNIVERSITY                   	              1	     0.183
HARTFORD HOSPITAL                            	              1	     0.183
HARVARD MEDICAL SCHOOL                       	              2	     0.366
HARVARD T H CHAN SCHOOL OF PUBLIC HEALTH     	              4	     0.731
HARVARD UNIVERSITY                           	              7	     1.280
HEBREW UNIVERSITY OF JERUSALEM               	              1	     0.183
HEC MONTREAL                                 	              1	     0.183
HENAN LIGHT IND VOCAT COLL                   	              1	     0.183
HOKKAIDO UNIVERSITY                          	              1	     0.183
HOMI BHABHA NATIONAL INSTITUTE               	              1	     0.183
HONG KONG POLYTECHNIC UNIVERSITY             	              1	     0.183
HOWARD UNIVERSITY                            	              1	     0.183
HSE UNIVERSITY NATIONAL RESEARCH UNIVERSITY H	              5	     0.914
IGHER SCHOOL OF ECONOMICS                    	               	          
HUBEI UNIVERSITY OF EDUCATION                	              1	     0.183
HUMBOLDT UNIVERSITY OF BERLIN                	              2	     0.366
HUN REN ALFRED RENYI INSTITUTE OF MATHEMATICS	              1	     0.183
HUN REN BALATON LIMNOLOGICAL RESEARCH INSTITU	              1	     0.183
TE                                           	               	          
HUN REN CENTRE FOR ECOLOGICAL RESEARCH       	              1	     0.183
HUNAN RAILWAY PROFESS TECHNOL COLL           	              1	     0.183
HUNGARIAN ACADEMY OF SCIENCES                	              3	     0.548
HUNGARIAN RESEARCH NETWORK                   	              2	     0.366
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI      	              1	     0.183
IMPERIAL COLLEGE LONDON                      	              7	     1.280
IMSCIENCES                                   	              1	     0.183
IMT SCHOOL FOR ADVANCED STUDIES LUCCA        	              5	     0.914
INCT INTREE NATL INST SCI TECHNOL INTERDISCIP	              1	     0.183
LI                                           	               	          
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY DE	              1	     0.183
SIGN MANUFACTURING JABALPUR                  	               	          
INDIAN INSTITUTE OF MANAGEMENT AHMEDABAD     	              3	     0.548
INDIAN INSTITUTE OF MANAGEMENT IIM SYSTEM    	              3	     0.548
INDIAN INSTITUTE OF MANAGEMENT KOZHIKODE     	              1	     0.183
INDIAN INSTITUTE OF SCIENCE EDUCATION RESEARC	              1	     0.183
H IISER PUNE                                 	               	          
INDIAN INSTITUTE OF SCIENCE IISC BANGALORE   	              2	     0.366
INDIAN INSTITUTE OF TECHNOLOGY IIT BOMBAY    	              1	     0.183
INDIAN INSTITUTE OF TECHNOLOGY IIT DELHI     	              1	     0.183
INDIAN INSTITUTE OF TECHNOLOGY IIT JAMMU     	              1	     0.183
INDIAN INSTITUTE OF TECHNOLOGY IIT KANPUR    	              1	     0.183
INDIAN INSTITUTE OF TECHNOLOGY IIT KHARAGPUR 	              1	     0.183
INDIAN INSTITUTE OF TECHNOLOGY IIT MADRAS    	              1	     0.183
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYS	              5	     0.914
TEM                                          	               	          
INDIANA UNIVERSITY BLOOMINGTON               	              3	     0.548
INDIANA UNIVERSITY SYSTEM                    	              3	     0.548
INESC TEC                                    	              2	     0.366
INNOPOLIS UNIVERSITY                         	              1	     0.183
INRAE                                        	              1	     0.183
INRIA                                        	              1	     0.183
INRIA SOPHIA ANTIPOLIS                       	              1	     0.183
INST COGNIT SCI STUDIES                      	              1	     0.183
INST DIS MODELING                            	              1	     0.183
INST INFORMAT TECHNOL                        	              1	     0.183
INST MANAGEMENT SCI                          	              1	     0.183
INST RES FUNDAMENTAL SCI IPM                 	              2	     0.366
INST SCI INTERCHANGE                         	              1	     0.183
INST SUPER SERV SOCIAL PORTO                 	              1	     0.183
INST SYST ENGN                               	              1	     0.183
INST TECNOL BUENOS AIRES ITBA                	              1	     0.183
INST TECNOL ESTUDIOS SUPER OCCIDENTE         	              1	     0.183
INSTITUT D ETUDES POLITIQUES PARIS SCIENCES P	              1	     0.183
O                                            	               	          
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHER	              2	     0.366
CHE MEDICALE INSERM                          	               	          
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE 	              4	     0.731
LYON INSA LYON                               	               	          
INSTITUTE OF APPLIED PHYSICS OF THE RUSSIAN A	              1	     0.183
CADEMY OF SCIENCES                           	               	          
INSTITUTE OF MATHEMATICAL SCIENCES IMSC INDIA	              1	     0.183
INSTITUTE OF NUCLEAR PHYSICS POLISH ACADEMY O	              1	     0.183
F SCIENCES                                   	               	          
INSTITUTE OF SCIENCE TOKYO                   	              2	     0.366
INSTITUTO BALSEIRO                           	              2	     0.366
INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS 	              1	     0.183
INSTITUTO GULBENKIAN DE CIENCIA              	              1	     0.183
INSTITUTO POLITECNICO NACIONAL MEXICO        	              1	     0.183
INSTITUTO POTOSINO INVESTIGACION CIENTIFICA Y	              1	     0.183
TECNOLOGICA                                  	               	          
INSTITUTO UNIVERSITARIO DE LISBOA            	              1	     0.183
INTERDISCIPLINARY CTR BIOINFORMAT            	              1	     0.183
INTERDISCIPLINARY SCI CTR PONCELET           	              1	     0.183
INTERNATIONAL BUSINESS MACHINES IBM          	              1	     0.183
INTERNATIONAL SCHOOL FOR ADVANCED STUDIES SIS	              1	     0.183
SA                                           	               	          
IRCCS OSPED POLICLIN SAN MARTINO             	              1	     0.183
ISFAHAN UNIVERSITY OF TECHNOLOGY             	              1	     0.183
ISI FDN                                      	              3	     0.548
ISLAMIC AZAD UNIVERSITY                      	              3	     0.548
ISTITUTO DEI SISTEMI COMPLESSI ISC CNR       	              1	     0.183
ISTITUTO DI FISIOLOGIA CLINICA IFC CNR       	              2	     0.366
ISTITUTO DI RICERCHE FARMACOLOGICHE MARIO NEG	              1	     0.183
RI IRCCS                                     	               	          
ISTITUTO DI SCIENZA E TECNOLOGIE DELL INFORMA	              1	     0.183
ZIONE ALESSANDRO FAEDO ISTI CNR              	               	          
ISTITUTO ITALIANO DI TECNOLOGIA IIT          	              1	     0.183
ISTITUTO NANOSCIENZE NANO CNR                	              2	     0.366
ISTITUTO NAZIONALE DI FISICA NUCLEARE INFN   	              4	     0.731
IT UNIVERSITY COPENHAGEN                     	              1	     0.183
ITALIAN NATIONAL AGENCY NEW TECHNICAL ENERGY 	              1	     0.183
SUSTAINABLE ECONOMICS DEVELOPMENT            	               	          
ITALIAN NATL RES COUNCIL PISA                	              1	     0.183
JAPAN ADVANCED INSTITUTE OF SCIENCE TECHNOLOG	              1	     0.183
Y JAIST                                      	               	          
JAPAN SCIENCE TECHNOLOGY AGENCY JST          	              2	     0.366
JAWAHARLAL NEHRU UNIVERSITY NEW DELHI        	              1	     0.183
JIANGSU UNIVERSITY OF TECHNOLOGY             	              1	     0.183
JIANGSU VOCATIONAL COLLEGE OF MEDICINE       	              1	     0.183
JILIN NORMAL UNIVERSITY                      	              1	     0.183
JINING UNIVERSITY                            	              1	     0.183
JOHNS HOPKINS UNIVERSITY                     	              1	     0.183
KARABUK UNIVERSITY                           	              1	     0.183
KARACHI INST ECON TECHNOL                    	              1	     0.183
KAROLINSKA INSTITUTET                        	              2	     0.366
KEIMYUNG UNIVERSITY                          	              1	     0.183
KEY LAB CLOUD COMP INTELLIGENT INFORMAT PROC 	              1	     0.183
CH                                           	               	          
KHALSA COLL ENGN TECHNOL                     	              1	     0.183
KHARAZMI UNIVERSITY                          	              1	     0.183
KHARKEVICH INSTITUTE FOR INFORMATION TRANSMIS	              4	     0.731
SION PROBLEMS OF THE RAS                     	               	          
KING S COLLEGE LONDON                        	              3	     0.548
KOREA ADVANCED INSTITUTE OF SCIENCE TECHNOLOG	              1	     0.183
Y KAIST                                      	               	          
KOREA INSTITUTE FOR ADVANCED STUDY KIAS      	              2	     0.366
KU LEUVEN                                    	              3	     0.548
KUMASI TECH UNIV                             	              1	     0.183
KYOTO UNIVERSITY                             	              4	     0.731
KYUNGPOOK NATIONAL UNIVERSITY KNU            	              2	     0.366
LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA	              2	     0.366
LNCC                                         	               	          
LAWRENCE LIVERMORE NATIONAL LABORATORY       	              3	     0.548
LE MANS UNIVERSITE                           	              1	     0.183
LEIBNIZ INST EUROPAISHE GESCHICHTE           	              1	     0.183
LEIDEN UNIVERSITY                            	              1	     0.183
LEIDEN UNIVERSITY EXCL LUMC                  	              1	     0.183
LEIPZIG UNIVERSITY                           	              4	     0.731
LIFESPAN HEALTH RHODE ISLAND                 	              1	     0.183
LONDON SCHOOL ECONOMICS POLITICAL SCIENCE    	              1	     0.183
LUSOFONA UNIVERSITY                          	              1	     0.183
MACHINE INTELLIGENCE RES DEPT                	              1	     0.183
MALUUBA RES                                  	              1	     0.183
MARTIN LUTHER UNIVERSITY HALLE WITTENBERG    	              1	     0.183
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT    	             10	     1.828
MASSEY UNIVERSITY                            	              1	     0.183
MATH COMP SCI                                	              1	     0.183
MAX PLANCK SOCIETY                           	             11	     2.011
MAYO CLINIC                                  	              1	     0.183
MCGILL UNIVERSITY                            	              1	     0.183
MCMASTER UNIVERSITY                          	              2	     0.366
MEDICAL UNIVERSITY OF SOUTH CAROLINA         	              1	     0.183
MEMORIAL UNIVERSITY NEWFOUNDLAND             	              2	     0.366
METHACTON HIGH SCH                           	              1	     0.183
MICHIGAN STATE UNIVERSITY                    	              1	     0.183
MINERAL RESOURCES                            	              1	     0.183
MINIST EDUC                                  	              1	     0.183
MINNESOTA STATE COLLEGES UNIVERSITIES        	              1	     0.183
MLG                                          	              1	     0.183
MOHAMMED V UNIVERSITY IN RABAT               	              2	     0.366
MONASH ACAD CROSS INTERDISCIPLINARY MATH     	              1	     0.183
MONASH UNIVERSITY                            	              2	     0.366
MOSCOW INSTITUTE OF PHYSICS TECHNOLOGY       	              5	     0.914
MTA BME STOCHASTICS RESEARCH GROUP           	              1	     0.183
MTA SZTE RES GRP ARTIFICIAL INTELLIGENCE     	              1	     0.183
N N SEMENOV FEDERAL RESEARCH CENTRE FOR CHEMI	              1	     0.183
CAL PHYSICS RUSSIAN ACADEMY OF SCIENCES      	               	          
NACL INST SCI TECHNOL COMPLEX SYST INCT SC   	              1	     0.183
NANJING MEDICAL UNIVERSITY                   	              2	     0.366
NANJING NORMAL UNIVERSITY                    	              1	     0.183
NANJING UNIVERSITY OF INFORMATION SCIENCE TEC	              1	     0.183
HNOLOGY                                      	               	          
NANTES UNIVERSITE                            	              1	     0.183
NANYANG TECHNOLOGICAL UNIVERSITY             	              1	     0.183
NATHAN KLINE INSTITUTE FOR PSYCHIATRIC RESEAR	              1	     0.183
CH                                           	               	          
NATIONAL INSTITUTE OF INFORMATICS NII JAPAN  	              2	     0.366
NATIONAL INSTITUTE OF INFORMATION COMMUNICATI	              1	     0.183
ONS TECHNOLOGY NICT JAPAN                    	               	          
NATIONAL INSTITUTE OF TECHNOLOGY DELHI       	              4	     0.731
NATIONAL INSTITUTE OF TECHNOLOGY NIT SYSTEM  	              4	     0.731
NATIONAL INSTITUTES OF HEALTH NIH USA        	              2	     0.366
NATIONAL TAIWAN NORMAL UNIVERSITY            	              1	     0.183
NATIONAL TECHNICAL UNIVERSITY OF ATHENS      	              2	     0.366
NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY CHI	              2	     0.366
NA                                           	               	          
NATIONAL UNIVERSITY OF MAR DEL PLATA         	              3	     0.548
NATIONAL UNIVERSITY OF SINGAPORE             	              1	     0.183
NATL HEALTHCARE SERV CTR                     	              1	     0.183
NAVAL POSTGRADUATE SCHOOL                    	              1	     0.183
NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY OF T	              1	     0.183
HE POLISH ACADEMY OF SCIENCES                	               	          
NETHERLANDS ORGANIZATION APPLIED SCIENCE RESE	              1	     0.183
ARCH                                         	               	          
NEUROL CARE CNY                              	              1	     0.183
NEW YORK HALL SCI                            	              2	     0.366
NEW YORK UNIVERSITY                          	              5	     0.914
NEW YORK UNIVERSITY TANDON SCHOOL OF ENGINEER	              1	     0.183
ING                                          	               	          
NEWCASTLE UNIVERSITY UK                      	              2	     0.366
NEXT GAMES                                   	              1	     0.183
NIH CENTER FOR INFORMATION TECHNOLOGY CIT    	              1	     0.183
NIH NATIONAL INSTITUTE OF MENTAL HEALTH NIMH 	              2	     0.366
NIH NATIONAL INSTITUTE ON AGING NIA          	              1	     0.183
NINGXIA POLYTECHNIC                          	              1	     0.183
NINGXIA UNIVERSITY                           	              1	     0.183
NODES LINKS LTD                              	              1	     0.183
NORTH CAROLINA STATE UNIVERSITY              	              2	     0.366
NORTH DAKOTA STATE UNIVERSITY FARGO          	              1	     0.183
NORTHEASTERN UNIV LONDON                     	              2	     0.366
NORTHEASTERN UNIVERSITY                      	             10	     1.828
NORTHEASTERN UNIVERSITY CHINA                	              1	     0.183
NORTHUMBRIA UNIVERSITY                       	              1	     0.183
NORTHWESTERN UNIVERSITY                      	              6	     1.097
NORWEGIAN INSTITUTE NATURE RESEARCH          	              1	     0.183
NOTTINGHAM TRENT UNIVERSITY                  	              1	     0.183
OFCE DRIC                                    	              1	     0.183
OFF NATL STAT                                	              1	     0.183
OHIO STATE UNIVERSITY                        	              3	     0.548
OHIO WESLEYAN UNIVERSITY                     	              1	     0.183
OKAYAMA UNIVERSITY                           	              1	     0.183
OKINAWA INSTITUTE OF SCIENCE TECHNOLOGY GRADU	              1	     0.183
ATE UNIVERSITY                               	               	          
OREGON HEALTH SCIENCE UNIVERSITY             	              1	     0.183
OREGON STATE UNIVERSITY                      	              1	     0.183
OSAKA UNIVERSITY                             	              1	     0.183
PACIFIC NORTHWEST NATIONAL LABORATORY        	              2	     0.366
PARKWOOD INST                                	              1	     0.183
PATAGONA TECHNOL                             	              1	     0.183
PEKING UNIVERSITY                            	              1	     0.183
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER ED	              4	     0.731
UCATION PCSHE                                	               	          
PENNSYLVANIA MEDICINE                        	              1	     0.183
PENNSYLVANIA STATE UNIVERSITY                	              2	     0.366
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	              2	     0.366
PERSIAN GULF UNIVERSITY                      	              2	     0.366
PITZER COLLEGE                               	              1	     0.183
POLISH ACADEMY OF SCIENCES                   	              2	     0.366
POLYTECHNIC UNIVERSITY OF MILAN              	              4	     0.731
POLYTECHNIC UNIVERSITY OF TURIN              	              1	     0.183
POMPEU FABRA UNIVERSITY                      	              1	     0.183
PONTIFICIA UNIV CATOLICA RIO DE JANEIRO      	              1	     0.183
PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU     	              1	     0.183
PONTIFICIA UNIVERSIDAD JAVERIANA             	              2	     0.366
PORTLAND STATE UNIVERSITY                    	              2	     0.366
POZNA UNIV TECHNOL                           	              1	     0.183
PREMIERE RES INST                            	              1	     0.183
PRESBYTERIAN COLL                            	              1	     0.183
PREVENT ALZHEIMERS DIS 2020                  	              1	     0.183
PRINCETON UNIVERSITY                         	              1	     0.183
PUKYONG NATIONAL UNIVERSITY                  	              1	     0.183
PURDUE UNIVERSITY                            	              5	     0.914
PURDUE UNIVERSITY SYSTEM                     	              5	     0.914
PURPLE MT LABS                               	              1	     0.183
QUEEN MARY UNIVERSITY LONDON                 	              7	     1.280
QUSOFT                                       	              1	     0.183
RAND CORPORATION                             	              1	     0.183
RENSSELAER POLYTECHNIC INSTITUTE             	              1	     0.183
RESEARCH ORGANIZATION OF INFORMATION SYSTEMS 	              2	     0.366
ROIS                                         	               	          
RHODE ISLAND HOSPITAL                        	              1	     0.183
RICE UNIVERSITY                              	              2	     0.366
RICHARD FRANK CONSULTING                     	              1	     0.183
RIKEN                                        	              3	     0.548
ROBERT KOCH INSTITUTE                        	              2	     0.366
ROCHESTER INSTITUTE OF TECHNOLOGY            	              1	     0.183
ROLLINS SCHOOL PUBLIC HEALTH                 	              1	     0.183
ROYAL HOLLOWAY UNIVERSITY LONDON             	              2	     0.366
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT 	              5	     0.914
RUSH UNIVERSITY                              	              1	     0.183
RUSSIAN ACADEMY OF SCIENCE LEBEDEV PHYSICAL I	              1	     0.183
NSTITUTE                                     	               	          
RUSSIAN ACADEMY OF SCIENCES                  	              7	     1.280
SABANCI UNIVERSITY                           	              1	     0.183
SAINT JOSEPH S HEALTH CENTRE TORONTO         	              1	     0.183
SAINT PETERSBURG STATE UNIVERSITY            	              1	     0.183
SANDIA NATIONAL LABORATORIES                 	              4	     0.731
SAPIENZA UNIVERSITY ROME                     	              1	     0.183
SAUDI ELECTRONIC UNIVERSITY                  	              1	     0.183
SAVITRIBAI PHULE PUNE UNIVERSITY             	              1	     0.183
