Document Type,Authors,Title,Journal,Year,Citations,Keywords,DOI,Affiliations,References
J,"['Bonacich, P']",Some unique properties of eigenvector centrality,SOCIAL NETWORKS,2007,932,"['centrality; eigenvector', 'POWER']",10.1016/j.socnet.2007.04.002,"['Bonacich, P (corresponding author), Univ Calif Los Angeles, Dept Sociol, Los Angeles, CA 90095 USA.']","['[Anonymous], 1989, Matrix computations']"
J,"['Borgatti, SP']",A graph-theoretic perspective on centrality,SOCIAL NETWORKS,2006,744,"['RG, 1978, PSYCHOMETRIKA, V43, P59, DOI 10.1007/BF02294089', 'C, 1978, UNPUB NEW STATUS SCO', 'DS, 1989, SOC NETWORKS, V11, P273, DOI 10.1016/0378-8733(89)90006-3', 'DS, 1972, FOLIA PRIMATOL, V18, P196, DOI 10.1159/000155480', 'INTERLOCKING DIRECTORATES; MACACA-MULATTA; NETWORK; POWER; SOCIOMETRICS;']",10.1016/j.socnet.2005.11.005,"['Borgatti, SP (corresponding author), Boston Coll, Dept Org Studies, Chestnut Hill, MA 02467 USA.']","['ALBA RD, 1976, SOCIOL METHOD RES, V5, P77, DOI 10.1177/004912417600500103']"
J,"['BURT, RS', 'PM, 1974, AM SOCIOL REV, V39, P615, DOI 10.2307/2094309']",NETWORK ITEMS AND THE GENERAL SOCIAL SURVEY,SOCIAL NETWORKS,1984,732,[],10.1016/0378-8733(84)90007-8,"['BURT, RS (corresponding author), COLUMBIA UNIV,DEPT SOCIOL,420 W 118TH ST,NEW YORK,NY 10027, USA.']","['ALBA R, 1982, RES SOCIOLOGY ORG']"
J,"['KRACKHARDT, D']",PREDICTING WITH NETWORKS - NONPARAMETRIC MULTIPLE-REGRESSION ANALYSIS OF,SOCIAL NETWORKS,1988,684,[],10.1016/0378-8733(88)90004-4,"['KRACKHARDT, D (corresponding author), CORNELL UNIV,JOHNSON GRAD SCH MANAGEMENT,528 MALOTT,ITHACA,NY 14853, USA.']","['BAKER FB, 1981, SOCIOL METHOD RES, V9, P339, DOI 10.1177/004912418100900305']"
J,"['Bonacich, P']",Eigenvector-like measures of centrality for asymmetric relations,SOCIAL NETWORKS,2001,670,"['centrality; power; status; eigenvector', 'NETWORKS; POWER']",10.1016/S0378-8733(01)00038-7,"['Bonacich, P (corresponding author), Univ Calif Los Angeles, Dept Sociol, 2201 Hershey Hall,POB 951551, Los Angeles, CA 90095 USA.']","['Bell DC, 1999, SOC NETWORKS, V21, P1, DOI 10.1016/S0378-8733(98)00010-0']"
J,"['FREEMAN, LC']",CENTRALITY IN VALUED GRAPHS - A MEASURE OF BETWEENNESS BASED ON NETWORK,SOCIAL NETWORKS,1991,648,['CLIQUE; POWER'],10.1016/0378-8733(91)90017-N,"['UNIV CALIF IRVINE, SCH SOCIAL SCI, IRVINE, CA 92717 USA.']","['ALBA RD, 1973, J MATH SOCIOL, V3, P113, DOI 10.1080/0022250X.1973.9989826']"
J,"['Opsahl, T']",Clustering in weighted networks,SOCIAL NETWORKS,2009,643,"['Clustering; Transitivity; Weighted networks', 'TESTING TRANSITIVITY; SOCIAL NETWORK; MODELS; ORGANIZATION; MODULARITY;']",10.1016/j.socnet.2009.02.002,"['Opsahl, T (corresponding author), Queen Mary Univ London, Sch Business & Management, Mile End Rd, London E1 4NS, England.']","['Ahnert SE, 2007, PHYS REV E, V76, DOI 10.1103/PhysRevE.76.016101']"
J,"['Borgatti, SP']",Network analysis of 2-mode data,SOCIAL NETWORKS,1997,624,"['networks; clusters; centrality', 'LS SETS; CLIQUE']",10.1016/S0378-8733(96)00301-2,"['Borgatti, SP (corresponding author), BOSTON COLL, CARROLL SCH MANAGEMENT, DEPT ORGANIZAT STUDIES, CHESTNUT HILL, MA 02167 USA.']","['ALBA RD, 1973, J MATH SOCIOL, V3, P113, DOI 10.1080/0022250X.1973.9989826']"
J,"['STEPHENSON, K']",RETHINKING CENTRALITY - METHODS AND EXAMPLES,SOCIAL NETWORKS,1989,601,[],10.1016/0378-8733(89)90016-6,"['STEPHENSON, K (corresponding author), HARVARD UNIV, FAC ARTS & SCI, DEPT ANTHROPOL, CAMBRIDGE, MA 02138 USA.']","['ALBA RD, 1973, J MATH SOCIOL, V3, P113, DOI 10.1080/0022250X.1973.9989826']"
J,"['KRACKHARDT, D']",COGNITIVE SOCIAL-STRUCTURES,SOCIAL NETWORKS,1987,596,[],10.1016/0378-8733(87)90009-8,"['KRACKHARDT, D (corresponding author), CORNELL UNIV,JOHNSON GRAD SCH MANAGEMENT,ITHACA,NY 14853, USA.']","['ALLEN R, 1978, THESIS U CALIFORNIA']"
J,"['Kossinets, G']",Effects of missing data in social networks,SOCIAL NETWORKS,2006,583,"['missing data; sensitivity analysis; graph theory; collaboration', 'INTERNET; ERROR; FRIENDS']",10.1016/j.socnet.2005.07.002,"['Kossinets, G (corresponding author), Columbia Univ, Dept Sociol, 420 W 118th St,8th Floor,Mail Code 3355, New York, NY 10027 USA.']","['Albert R, 2000, NATURE, V406, P378, DOI 10.1038/35019019']"
J,"['Brandes, U']",On variants of shortest-path betweenness centrality and their generic,SOCIAL NETWORKS,2008,581,['betweenness centrality; algorithms; valued networks; load centrality'],10.1016/j.socnet.2007.11.001,"['Brandes, U (corresponding author), Univ Konstanz, Dept Comp & Informat Sci, Constance, Germany.']","['Anthonisse JM., 1971, The rush in a directed graph']"
J,"['LIN, N']",ACCESS TO OCCUPATIONS THROUGH SOCIAL TIES,SOCIAL NETWORKS,1986,578,[],10.1016/0378-8733(86)90003-1,"['LIN, N (corresponding author), SUNY ALBANY,DEPT SOCIOL,ALBANY,NY 12222, USA.']","['[Anonymous], 1950, The Human Group']"
J,"['Valente, TW']",Social network thresholds in the diffusion of innovations,SOCIAL NETWORKS,1996,570,['CRITICAL MASS; COLLECTIVE BEHAVIOR; CENTRALITY; MODELS; INTERDEPENDENCE;'],10.1016/0378-8733(95)00256-1,"['JOHNS HOPKINS UNIV, SCH HYG & PUBL HLTH, CTR COMMUN PROGRAMS, POPULAT COMMUN SERV, 111 MARKET PL, BALTIMORE, MD 21202 USA.']","['BEAL GM, 1955, 15 COOP EXT SERV REP']"
J,"['HUMMON, NP']",CONNECTIVITY IN A CITATION NETWORK - THE DEVELOPMENT OF DNA THEORY,SOCIAL NETWORKS,1989,546,[],10.1016/0378-8733(89)90017-8,"['HUMMON, NP (corresponding author), UNIV PITTSBURGH,DEPT SOCIOL,PITTSBURGH,PA 15260, USA.']","['ASIMOV I, 1963, GENETIC CODE']"
J,"['Costenbader, E']",The stability of centrality measures when networks are sampled,SOCIAL NETWORKS,2003,514,"['social networks; sampling; centrality; simulation; surveys', 'COOPERATION']",10.1016/S0378-8733(03)00012-1,"['Costenbader, E (corresponding author), Johns Hopkins Bloomberg Sch Publ Hlth, Dept Populat & Family Hlth Sci, 615 N Wolfe St, Baltimore, MD 21205 USA.']","['BOLLAND JM, 1988, SOC NETWORKS, V10, P233, DOI 10.1016/0378-8733(88)90014-7']"
J,"['Lewis, K']","Tastes, ties, and time: A new social network dataset using Facebook.com",SOCIAL NETWORKS,2008,508,"['Internet; Network data; Facebook; Culture; Race/ethnicity; Higher', 'UNITED-STATES; FRIENDS; COLLEGE; CULTURE; CENTRALITY; DIVERSITY;']",10.1016/j.socnet.2008.07.002,"['Lewis, K (corresponding author), 33 Kirkland St, Cambridge, MA 02138 USA.']","['Adamic LA, 2003, SOC NETWORKS, V25, P211, DOI 10.1016/S0378-8733(03)00009-1']"
J,"['Robins, G']",Recent developments in exponential random graph (<i>p</i>*) models for,SOCIAL NETWORKS,2007,494,"['exponential random graph models; p* models; statistical models for', 'LOGISTIC REGRESSIONS; LOGIT-MODELS; FAMILY MODELS']",10.1016/j.socnet.2006.08.003,"['Robins, G (corresponding author), Univ Melbourne, Sch Behav Sci, Dept Psychol, Melbourne, Vic 3010, Australia.']","['[Anonymous], 2006, Pnet: A program for the simulation and estimation of exponential random graph models']"
J,"['MARSDEN, PV']",HOMOGENEITY IN CONFIDING RELATIONS,SOCIAL NETWORKS,1988,480,[],10.1016/0378-8733(88)90010-X,[],"['Agresti A., 1984, ANAL ORDINAL CATEGOR, V1st']"
J,"['KRACKHARDT, D']",QAP PARTIALLING AS A TEST OF SPURIOUSNESS,SOCIAL NETWORKS,1987,398,[],10.1016/0378-8733(87)90012-8,"['KRACKHARDT, D (corresponding author), CORNELL UNIV,JOHNSON GRAD SCH MANAGEMENT,ITHACA,NY 14853, USA.']","['[Anonymous], 1979, Correlation and Causality']"
J,"['FREEMAN, LC']",CENTRALITY IN SOCIAL NETWORKS .2. EXPERIMENTAL RESULTS,SOCIAL NETWORKS,1980,394,[],10.1016/0378-8733(79)90002-9,"['FREEMAN, LC (corresponding author), UNIV CALIF IRVINE,SCH SOCIAL SCI,IRVINE,CA 92717, USA.']","['[Anonymous], J ACOUSTICAL SOC AM']"
J,"['CAMPBELL, KE']",SOCIAL RESOURCES AND SOCIOECONOMIC-STATUS,SOCIAL NETWORKS,1986,391,[],10.1016/S0378-8733(86)80017-X,"['VANDERBILT UNIV, DEPT SOCIOL & ANTHROPOL, NASHVILLE, TN 37235 USA.']","['[Anonymous], 1966, Prestige and Association in an Urban Community']"
J,"['Borgatti, SP']",On the robustness of centrality measures under conditions of imperfect,SOCIAL NETWORKS,2006,387,['NETWORKS'],10.1016/j.socnet.2005.05.001,"['Borgatti, SP (corresponding author), Boston Coll, Carroll Sch Management, Dept ORg Studies, Fulton Hall,140 Commonwealth Ave, Chestnut Hill, MA 02467 USA.']","['[Anonymous], 2001, CONNECTIONS']"
J,"['Latapy, M']",Basic notions for the analysis of large two-mode networks,SOCIAL NETWORKS,2008,379,"['two-mode networks; affiliation networks; bipartite graphs; complex', 'RANDOM GRAPH; SMALL-WORLD; MODELS; EMERGENCE']",10.1016/j.socnet.2007.04.006,"['Latapy, M (corresponding author), CNRS, LIAFA, 2 Pl Jussieu, F-75005 Paris, France.']","['AGNEESSENS F, 2002, METODOLOSKI ZVEZKI, V1, P419']"
J,"['Everett, M']",Ego network betweenness,SOCIAL NETWORKS,2005,379,[],10.1016/j.socnet.2004.11.007,"['Everett, M (corresponding author), Univ Westminster, 35 Marylebone Rd, London NW1 5LS, England.']","['[Anonymous], 2002, Ucinet 6 for Windows']"
J,"['Leenders, RTAJ']",Modeling social influence through network autocorrelation: constructing,SOCIAL NETWORKS,2002,376,"['autocorrelation; spatial analysis; social influence', 'C, 1979, NEW STATUS SCORE FAC', 'AUTO-CORRELATION; SPATIAL AUTOCORRELATION; INSTRUMENTAL VARIABLES;']",10.1016/S0378-8733(01)00049-1,"['Univ Groningen, Cluster Business Dev, Sch Org & Management, Landleven 5, NL-9747 AD Groningen, Netherlands.']","['AKAIKE H, 1981, J ECONOMETRICS, V16, P3, DOI 10.1016/0304-4076(81)90071-3']"
J,"['Takhteyev, Y']",Geography of Twitter networks,SOCIAL NETWORKS,2012,349,"['Social networks; Distance; Proximity; Nation-states; Language; Air', 'WORLD; DISTANCE']",10.1016/j.socnet.2011.05.006,"['Takhteyev, Y (corresponding author), Univ Toronto, Fac Informat, 140 St George St, Toronto, ON M5S 3G6, Canada.']","['Alderson AS, 2004, AM J SOCIOL, V109, P811, DOI 10.1086/378930']"
J,"['Marsden, PV']",Egocentric and sociocentric measures of network centrality,SOCIAL NETWORKS,2002,343,"['centrality; egocentric networks; betweenness', 'SOCIAL NETWORKS; AFFILIATION; BETWEENNESS']",10.1016/S0378-8733(02)00016-3,"['Marsden, PV (corresponding author), Harvard Univ, Dept Sociol, 630 William James Hall,33 Kirkland St, Cambridge, MA 02138 USA.']","['BORGATTI SP, 1996, UCINET 5 WINDOWS SOF']"
J,"['Van Der Gaag, M']",The Resource Generator: social capital quantification with concrete,SOCIAL NETWORKS,2005,335,"['social capital; measurement; latent trait; scale construction', 'NETWORKS']",10.1016/j.socnet.2004.10.001,"['Univ Groningen, ICS, Grote Rozenstr 31, NL-9712 TG Groningen, Netherlands.']","['[Anonymous], SOCIAL STRUCTURE NET']"
J,"['Hunter, DR']",Curved exponential family models for social networks,SOCIAL NETWORKS,2007,326,"['exponential random graph model; maximum likelihood estimation; p-Star', 'P-ASTERISK MODELS']",10.1016/j.socnet.2006.08.005,"['Hunter, DR (corresponding author), Penn State Univ, University Pk, PA 16802 USA.']","['Albert R, 2002, REV MOD PHYS, V74, P47, DOI 10.1103/RevModPhys.74.47']"
J,"['SPARROW, MK']",THE APPLICATION OF NETWORK ANALYSIS TO CRIMINAL INTELLIGENCE - AN,SOCIAL NETWORKS,1991,325,['SOCIAL NETWORKS; EQUIVALENCE; GRAPH; COMPUTATION; CENTRALITY; ALGORITHM'],10.1016/0378-8733(91)90008-H,"['SPARROW, MK (corresponding author), HARVARD UNIV,JOHN F KENNEDY SCH GOVT,79 JOHN F KENNEDY ST,CAMBRIDGE,MA 02138, USA.']","['BARNES JA, 1983, SOC NETWORKS, V5, P235, DOI 10.1016/0378-8733(83)90026-6']"
J,"['POOL, ID']",CONTACTS AND INFLUENCE,SOCIAL NETWORKS,1978,323,[],10.1016/0378-8733(78)90011-4,"['MIT, INST INT STUDIES, CAMBRIDGE, MA 02139 USA.']","['ALBA RD, 1973, J MATH SOCIOL, V3, P113, DOI 10.1080/0022250X.1973.9989826']"
J,"['Burt, RS']",Bridge decay,SOCIAL NETWORKS,2002,319,"['change; structural holes; social capital; management; banking', 'ORGANIZATIONAL MORTALITY; SOCIAL NETWORKS; STABILITY; DISSOLUTION;']",10.1016/S0378-8733(02)00017-5,"['Univ Chicago, Grad Sch Business, Dept Sociol, Chicago, IL 60637 USA.']","['[Anonymous], 1954, Freedom and Control in Modern Society, DOI DOI 10.1007/978-3-658-21742-676']"
J,"['Burt, RS']",A note on social capital and network content,SOCIAL NETWORKS,1997,317,['EXCHANGE NETWORKS; RESOURCES; ATTAINMENT; CENTRALITY; POWER; TIES'],10.1016/S0378-8733(97)00003-8,"['Burt, RS (corresponding author), UNIV CHICAGO,GRAD SCH BUSINESS,CHICAGO,IL 60637, USA.']","['[Anonymous], SOCIAL SCI RES']"
J,"['Faust, K']",Centrality in affiliation networks,SOCIAL NETWORKS,1997,315,"['affiliation networks; membership networks; dual networks; two-mode', 'INFORMANT ACCURACY; SOCIAL-STRUCTURE; RELIABILITY; COMMUNITY; EXTENSION;']",10.1016/S0378-8733(96)00300-0,"['Faust, K (corresponding author), UNIV S CAROLINA,DEPT SOCIOL,COLUMBIA,SC 29208, USA.']","['ALLEN MP, 1982, SOC NETWORKS, V4, P349, DOI 10.1016/0378-8733(82)90018-1']"
J,"['Ruhnau, B']",Eigenvector-centrality - a node-centrality?,SOCIAL NETWORKS,2000,312,['NETWORKS'],10.1016/S0378-8733(00)00031-9,"['Ruhnau, B (corresponding author), Univ Dortmund, Dept Operat Res, D-44221 Dortmund, Germany.']","['[Anonymous], 1997, STRUCTURAL ANAL SOCI']"
J,"['HAGE, P']",ECCENTRICITY AND CENTRALITY IN NETWORKS,SOCIAL NETWORKS,1995,288,['POWER'],10.1016/0378-8733(94)00248-9,"['UNIV UTAH, DEPT ANTHROPOL, SALT LAKE CITY, UT 84112 USA.']","['[Anonymous], [No title captured]']"
J,"['Stiller, J']",Perspective-taking and memory capacity predict social network size,SOCIAL NETWORKS,2007,281,"['social network; support clique; sympathy group; memory capacity; theory', 'NEOCORTEX SIZE; HUMANS; MIND']","A, BRIT J PSYCHOL","['Dunbar, RIM (corresponding author), Univ Liverpool, Sch Biol Sci, British Acad Centenary Res Project, Liverpool L69, Merseyside, England.']","['Adolphs R, 2003, NAT REV NEUROSCI, V4, P165, DOI 10.1038/nrn1056']"
J,"['Burt, RS']",Decay functions,SOCIAL NETWORKS,2000,278,"['BD, 1989, SOC NETWORKS, V11, P293, DOI 10.1016/0378-8733(89)90007-5', 'SOCIAL-STRUCTURE; NETWORK STRUCTURE; SUPPORT NETWORKS; STABILITY; TIME;']",10.1016/S0378-8733(99)00015-5,"['Burt, RS (corresponding author), Univ Chicago, Grad Sch Business, Chicago, IL 60637 USA.']","['[Anonymous], 1954, Freedom and Control in Modern Society, DOI DOI 10.1007/978-3-658-21742-676']"
J,"['Cummings, JN']",Structural properties of work groups and their consequences for,SOCIAL NETWORKS,2003,275,"['work groups; communication networks; team performance; core-periphery;', 'SOCIAL NETWORKS; ORGANIZATION; KNOWLEDGE']",10.1016/S0378-8733(02)00049-7,"['MIT, Alfred P Sloan Sch Management, 77 Massachusetts Ave, Cambridge, MA 02139 USA.']","['Adler PaulS., 2002, ACAD MANAGE REV, V27, P17, DOI DOI 10.2307/4134367']"
J,"['Opsahl, T']",Triadic closure in two-mode networks: Redefining the global and local,SOCIAL NETWORKS,2013,274,['Clustering coefficient; Random networks; Triadic closure; Two-mode'],10.1016/j.socnet.2011.07.001,"['Opsahl, T (corresponding author), Univ London Imperial Coll Sci Technol & Med, Imperial Coll Business Sch, London, England.']","['[Anonymous], MULTIPLEX D IN PRESS']"
J,"['Adamic, L']",How to search a social network,SOCIAL NETWORKS,2005,269,['social networks; small world experiment; online communities; email'],10.1016/j.socnet.2005.01.007,"['HP Labs, 1501 Page Mill Rd, Palo Alto, CA 94304 USA.']","['Adamic LA, 2001, PHYS REV E, V64, DOI 10.1103/PhysRevE.64.046135']"
J,"['Roberts, SGB']",Exploring variation in active network size: Constraints and ego,SOCIAL NETWORKS,2009,252,"['Social networks; Personal networks; Individual difference; Constraints;', 'BODY-SIZE; SOCIAL NETWORKS; PATTERNS; DYNAMICS; SUPPORT; ABUNDANCE;']",10.1016/j.socnet.2008.12.002,"['Roberts, SGB (corresponding author), Univ Oxford, Inst Cognit & Evolutionary Anthropol, British Acad Centenary Project, 64 Banbury Rd, Oxford OX2 6PN, England.']","['AINSWORTH MDS, 1989, AM PSYCHOL, V44, P709, DOI 10.1037/0003-066X.44.4.709']"
J,"['Dunbar, RIM']",The structure of online social networks mirrors those in the offline,SOCIAL NETWORKS,2015,241,"['Ego-centric social networks; Network scaling; Network structure;', 'GROUP-SIZE; ORGANIZATION; STRENGTH; CORTEX', 'DIFFER, V32, P161, DOI 10.1027/1614-0001/a000048']",10.1016/j.socnet.2015.04.005,"['Dunbar, RIM (corresponding author), Univ Oxford, Dept Expt Psychol, S Parks Rd, Oxford OX1 3UD, England.']","['AKAIKE H, 1974, IEEE T AUTOMAT CONTR, VAC19, P716, DOI 10.1109/TAC.1974.1100705']"
J,"['Kalish, Y']",Psychological predispositions and network structure: The relationship,SOCIAL NETWORKS,2006,234,"['structural holes; strong and weak ties; egocentric networks;', 'SOCIAL NETWORK; PERSONALITY; ACCURACY; SUPPORT']",10.1016/j.socnet.2005.04.004,"['Univ Melbourne, Dept Psychol, Parkville, Vic 3010, Australia.']","['ALLPORT GW, 1962, J PERS, V30, P405, DOI 10.1111/j.1467-6494.1962.tb02313.x']"
J,"['Cross, R']",Beyond answers: dimensions of the advice network,SOCIAL NETWORKS,2001,234,"['problem reformulation; Guttman scale; advice network', 'KNOWLEDGE; STRENGTH']",10.1016/S0378-8733(01)00041-7,"['Univ Virginia, 55 Cambridge Pkwy,LDB 3E, Cambridge, MA 02142 USA.']","['Allen T., 1977, Managing the Flow of Technology']"
J,"['MORRIS, M']",CONCURRENT PARTNERSHIPS AND TRANSMISSION DYNAMICS IN NETWORKS,SOCIAL NETWORKS,1995,233,['HIV-INFECTION; SPREAD; AIDS'],10.1016/0378-8733(95)00268-S,"['MORRIS, M (corresponding author), COLUMBIA UNIV,DEPT SOCIOL,NEW YORK,NY 10027, USA.']","['ALTMANN M, 1993, SOC NETWORKS, V15, P1, DOI 10.1016/0378-8733(93)90019-H']"
J,"['Wang, P']",Exponential random graph models for multilevel networks,SOCIAL NETWORKS,2013,232,"['Multilevel networks; Exponential random graph models', 'P-ASTERISK MODELS; SOCIAL NETWORKS; LOGIT-MODELS; FAMILY']",10.1016/j.socnet.2013.01.004,"['Wang, P (corresponding author), Univ Melbourne, Melbourne Sch Psychol Sci, Melbourne, Vic 3010, Australia.']","['Agneessens F, 2008, J MATH SOCIOL, V32, P204, DOI 10.1080/00222500802148685']"
J,"['CAMPBELL, KE']",NAME GENERATORS IN SURVEYS OF PERSONAL NETWORKS,SOCIAL NETWORKS,1991,230,['SOCIAL NETWORKS; INFORMANT ACCURACY; LIFE'],10.1016/0378-8733(91)90006-F,"['CAMPBELL, KE (corresponding author), VANDERBILT UNIV,DEPT SOCIOL,NASHVILLE,TN 37235, USA.']","['Agresti A., 1977, Sociological methodology 1978, P204']"
J,"['Louch, H', 'PM, 1982, AM SOCIOL REV, V47, P45, DOI 10.2307/2095041']",Personal network integration: transitivity and homophily in strong-tie,SOCIAL NETWORKS,2000,223,['INTERPERSONAL-RELATIONS; DYNAMICS; MODELS; SEX'],10.1016/S0378-8733(00)00015-0,"['Louch, H (corresponding author), Princeton Univ, Princeton, NJ 08544 USA.']","['[Anonymous], 1977, INEQUALITY HETEROGEN']"
J,"['WHITE, DR']",GRAPH AND SEMIGROUP HOMOMORPHISMS ON NETWORKS OF RELATIONS,SOCIAL NETWORKS,1983,221,[],10.1016/0378-8733(83)90025-4,"['WHITE, DR (corresponding author), UNIV CALIF IRVINE,SCH SOCIAL SCI,IRVINE,CA 92717, USA.']","['ARABIE P, 1978, J MATH PSYCHOL, V17, P21, DOI 10.1016/0022-2496(78)90034-2']"
J,"['Brewer, DD']",Forgetting in the recall-based elicitation of personal and social,SOCIAL NETWORKS,2000,219,['INFORMANT ACCURACY; RELIABILITY; MEMORY; COMMUNITY; INTERVIEW; PATTERNS;'],10.1016/S0378-8733(99)00017-9,"['Brewer, DD (corresponding author), Univ Washington, Inst Alcohol & Drug Abuse, 3937 15th Ave NE, Seattle, WA 98105 USA.']","['ALEXANDER J, 1976, AM ETHNOL, V3, P17']"
J,"['BOXMAN, EAW']",THE IMPACT OF SOCIAL AND HUMAN-CAPITAL ON THE INCOME ATTAINMENT OF DUTCH,SOCIAL NETWORKS,1991,213,['RESOURCES'],10.1016/0378-8733(91)90013-J,"['BOXMAN, EAW (corresponding author), STATE UNIV UTRECHT,DEPT SOCIAL SCI,INTERUNIV CTR SOCIOL THEORY & METHODOL,HEIDELBERGLAAN 2,3584 CS UTRECHT,NETHERLANDS.']","['[Anonymous], SOCIAL STRUCTURE NET']"
J,"['BOYD, R']",THE EVOLUTION OF INDIRECT RECIPROCITY,SOCIAL NETWORKS,1989,212,"['MJ, 1978, Q REV BIOL, V53, P101, DOI 10.1086/410450']",10.1016/0378-8733(89)90003-8,"['UNIV CALIF LOS ANGELES, DEPT ANTHROPOL, LOS ANGELES, CA 90024 USA.']","['ALEXANDER RD, 1985, ZYGON, V20, P3, DOI 10.1111/j.1467-9744.1985.tb00574.x']"
J,"['Robins, G']","Closure, connectivity and degree distributions: Exponential random graph",SOCIAL NETWORKS,2009,210,"['Exponential random graph models; p* models; Statistical network models', 'LOGISTIC REGRESSIONS; LOGIT-MODELS; FAMILY MODELS']",10.1016/j.socnet.2008.10.006,"['Robins, G (corresponding author), Univ Melbourne, Sch Behav Sci, Melbourne, Vic 3010, Australia.']","['[Anonymous], 2006, Pnet: A program for the simulation and estimation of exponential random graph models']"
J,"['Goodreau, SM']",Advances in exponential random graph (<i>p*</i>) models applied to a,SOCIAL NETWORKS,2007,210,"['exponential random graph models; p* models; statistical models for', 'CARLO MAXIMUM-LIKELIHOOD; STATISTICAL-ANALYSIS']",10.1016/j.socnet.2006.08.001,"['Goodreau, SM (corresponding author), Univ Washington, Dept Anthropol, Seattle, WA 98195 USA.']","['[Anonymous], 2002, J SOC STRUCT, DOI DOI 10.1021/pr060392u']"
