Funding Agencies                             	   Record Count	       % of 1,557
ACADEMIC RESEARCH TIER 1 GRANT               	              1	     0.064
ACADEMY OF KOREAN STUDIES                    	              1	     0.064
ADB DFID PROJECT MAKING MARKETS WORK BETTER F	              1	     0.064
OR THE POOR I                                	               	          
AFD FRENCH DEVELOPMENT AGENCY                	              1	     0.064
AGENCE NATIONALE DES PLANTES MEDICINALES ET A	              1	     0.064
ROMATIQUES ANPMA MOROCCO                     	               	          
AGENCE NATIONALE POUR LE DEVELOPPEMENT DE LA 	              1	     0.064
RECHERCHE EN SANTE ANDRS                     	               	          
AGENCIA ANDALUZA DE COOPERACION INTERNACIONAL	              1	     0.064
PARA EL DESARROLLO                           	               	          
AGENTURA UNIVERZITY KARLOVY                  	              1	     0.064
AIR FORCE OFFICE OF SCIENTIFIC RESEARCH AFOSR	              1	     0.064
AIR FORCE RESEARCH LABORATORY AFRL MATHEMATIC	              1	     0.064
AL MODELING AND OPTIMIZATION INSTITUTE       	               	          
ALFRED P SLOAN FOUNDATION                    	              1	     0.064
AMERICAN HEART ASSOCIATION                   	              1	     0.064
AMERICAN NATIONAL SCIENCE FOUNDATION VIA THE 	              1	     0.064
UNIVERSITY OF MINNESOTA                      	               	          
AMERICAN SOCIOLOGICAL ASSOCIATION S MATHEMATI	              1	     0.064
CAL SOCIOLOGY SECTION S OUTSTANDING DISSERTATION IN PROGRESS AWARD	               	          
ANNIVERSARY FUND OF THE OESTERREICHISCHE NATI	              1	     0.064
ONALBANK OENB                                	               	          
ANNUAL RESEARCH PROJECT OF UNIVERSITY OF FOGG	              1	     0.064
IA ITALY 2017 VALIDATION OF SOCIAL INNOVATION OF EMERGING MODELS FOR COOPERATION IN THE FOOD INDUSTRY OF SOUTHERN ITALY RURAL AREAS	               	          
ARMY RESEARCH OFFICE                         	              1	     0.064
ARO AWARD                                    	              1	     0.064
AROL SHACK DISSERTATION AWARD CASE WESTERN RE	              1	     0.064
SERVE UNIVERSITY CLEVELAND OH USA            	               	          
AUSTRALIAN INSTITUTE OF CRIMINOLOGY CRIMINOLO	              1	     0.064
GY RESEARCH GRANT                            	               	          
AUSTRIAN ACADEMY OF SCIENCES OAW             	              1	     0.064
BASSE NORMANDIE REGIONAL DEPARTMENT OF EMPLOY	              1	     0.064
MENT AND VOCATIONAL TRAINING                 	               	          
BASSE NORMANDIE REGIONAL DEPARTMENT OF HEALTH	              1	     0.064
AND SOCIAL AFFAIRS DRASS                     	               	          
BOCCONI UNIVERSITY                           	              1	     0.064
BRAIN BE PROGRAMME BELGIAN RESEARCH ACTION TH	              1	     0.064
ROUGH INTERDISCIPLINARY NETWORKS BELGIAN SCIENCE POLICY OFFICE	               	          
BREAST CANCER RESEARCH PROGRAM THE UNIVERSITY	              1	     0.064
OF TEXAS M D ANDERSON CANCER CENTER          	               	          
BREMEN INTERNATIONAL GRADUATE SCHOOL OF SOCIA	              1	     0.064
L SCIENCES BIGSSS                            	               	          
BUDAPESTI KOZEP EUROPAI EGYETEM ALAPITVANY CE	              1	     0.064
U BPF                                        	               	          
CALVADOS REGIONAL DEPARTMENT OF HEALTH AND SO	              1	     0.064
CIAL AFFAIRS                                 	               	          
CANADIAN INSTITUTE FOR ADVANCED RESEARCH CIFA	              1	     0.064
R                                            	               	          
CANCER RESEARCH UK                           	              1	     0.064
CAROLINA POPULATION CENTER OF THE UNIVERSITY 	              1	     0.064
OF NORTH CAROLINA AT CHAPEL HILL             	               	          
CENTER FOR BEHAVIORAL INSTITUTIONAL DESIGN AN	              1	     0.064
D TAMKEEN                                    	               	          
CENTER FOR SOCIAL NETWORK RESEARCH TSINGHUA U	              1	     0.064
NIVERSITY                                    	               	          
CENTERS FOR DISEASE CONTROL GRANT            	              1	     0.064
CENTERS FOR DISEASE CONTROL PREVENTION USA   	              1	     0.064
CENTRE FOR GERMAN AND EUROPEAN STUDIES BIELEF	              1	     0.064
ELD UNIVERSITY                               	               	          
CENTRE FOR GERMAN AND EUROPEAN STUDIES GERMAN	              1	     0.064
FOREIGN OFFICE                               	               	          
CENTRE FOR GERMAN AND EUROPEAN STUDIES ST PET	              1	     0.064
ERSBURG STATE UNIVERSITY                     	               	          
CENTRE FOR SOCIAL CONFLICT AND COHESION STUDI	              1	     0.064
ES COES                                      	               	          
CHARLES UNIVERSITY GRANT AGENCY              	              1	     0.064
CHARLES UNIVERSITY GRANT AGENCY GRANTOVA AGEN	              1	     0.064
TURA UNIVERZITY KARLOVY                      	               	          
CHILDREN YOUTH AND FAMILY CONSORTIUM AT THE U	              1	     0.064
NIVERSITY OF MINNESOTA                       	               	          
CHILEAN NATIONAL COMMISSION FOR SCIENTIFIC AN	              1	     0.064
D TECHNOLOGICAL RESEARCH ANID PFCHA DOCTORADO BECAS CHILE	               	          
CHINESE NATIONAL FUNDING OF SOCIAL SCIENCE   	              1	     0.064
CHINESE NATIONAL FUNDING OF SOCIAL SCIENCES  	              1	     0.064
CHINESE NATURAL SCIENCE FOUNDATION PROJECT SO	              1	     0.064
CIAL NETWORK IN BIG DATA ANALYSIS A CASE IN INVESTMENT NETWORK	               	          
CILS4EU RESEARCH PROJECT                     	              1	     0.064
CNRS MOMENTUM GRANT INSTITUT HOSPITALO UNIVER	              1	     0.064
SITAIRE IHU MEDITERRANEE INFECTION           	               	          
COLFUTURO COLOMBIA                           	              1	     0.064
COMMONWEALTH AUSTRALIAN GOVERNMENT           	              1	     0.064
CONICYT NATIONAL MASTER S GRANT 2017         	              1	     0.064
CONICYT PFCHA DOCTORADO BECAS CHILE 2017     	              1	     0.064
CRISIS AND INNOVATION PROGRAM OF THE HAS ELTE	              1	     0.064
PERIPATO RESEARCH GROUP                      	               	          
CROATIAN SCIENCE FOUNDATION                  	              1	     0.064
DANISH INTERNATIONAL DEVELOPMENT AGENCY S CON	              1	     0.064
SULTATIVE RESEARCH COMMITTEE FOR DEVELOPMENT RESEARCH FFU	               	          
DEAKIN UNIVERSITY                            	              1	     0.064
DEAN OF SOCIAL SCIENCE ZHEIJIANG UNIVERSITY  	              1	     0.064
DEANS RESEARCH INITIATIVE AT THE UNIVERSITY O	              1	     0.064
F MARYLAND USA                               	               	          
DEANSHIP OF SCIENTIFIC RESEARCH DSR KING ABDU	              1	     0.064
LAZIZ UNIVERSITY JEDDAH                      	               	          
DEPARTMENT OF CALVADOS                       	              1	     0.064
DEPARTMENT OF SOCIOLOGY AT THE UNIVERSITY OF 	              1	     0.064
MINNESOTA                                    	               	          
DEPARTMENT OF SOCIOLOGY SOCIAL RESEARCH OF TH	              1	     0.064
E UNIVERSITY OF TRENTO                       	               	          
DEVELOPMENTAL PROGRAM ASTRA OF TALLINN UNIVER	              1	     0.064
SITY OF TECHNOLOGY FOR YEARS 2016 2022       	               	          
DIFC DEPARTMENT OF THE UNIVERSITY OF PALERMO 	              1	     0.064
DSEAS DEPARTMENT OF THE UNIVERSITY OF PALERMO	              1	     0.064
DSR                                          	              1	     0.064
DUKE AGING CENTER POSTDOCTORAL RESEARCH TRAIN	              1	     0.064
ING GRANT                                    	               	          
DUNHE FOUNDATION                             	              1	     0.064
DUTCH MINISTRY OF EDUCATION CULTURE AND SCIEN	              1	     0.064
CE OCW                                       	               	          
DUTCH MINISTRY OF EDUCATION ONDERWIJS BEWIJS 	              1	     0.064
DUTCH NATIONAL COORDINATOR FOR SECURITY AND C	              1	     0.064
OUNTERTERRORISM                              	               	          
EDMOND J SAFRA CENTER FOR ETHICS AT HARVARD U	              1	     0.064
NIVERSITY                                    	               	          
ERASMUS UNIVERSITY ROTTERDAM AS PART OF THE 2	              1	     0.064
5 25 INITIATIVE                              	               	          
ESTONIAN RESEARCH COUNCIL                    	              1	     0.064
ESTONIAN SCIENCE INFRASTRUCTURE ROAD MAP PROJ	              1	     0.064
ECT INFOTECHNOLOGICAL MOBILITY OBSERVATORY IMO	               	          
ETH ZURICH                                   	              1	     0.064
ETH ZURICH FELLOWSHIP SWITZERLAND            	              1	     0.064
EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF 	              1	     0.064
CHILD HEALTH AND HUMAN DEVELOPMENT POPULATION RESEARCH INFRASTRUCTURE UNITED STATES	               	          
EUROCORES PROGRAMME EUROGIGA PROJECT GREGAS O	              1	     0.064
F THE EUROPEAN SCIENCE FOUNDATION            	               	          
EUROPEAN COMMISSION DIRECTORATE GENERAL FOR R	              1	     0.064
ESEARCH AND INNOVATION UNDER FP7 HEALTH 2011 PROGRAMME	               	          
EUROPEAN COMMISSION FP7 PEOPLE IOF           	              1	     0.064
EUROPEAN COMMISSION THROUGH THE ERC          	              1	     0.064
EUROPEAN FUNDING FEDER PRIMI                 	              1	     0.064
EUROPEAN SCIENCE FOUNDATION ESF              	              1	     0.064
EUROPEAN SOCIAL FUND ESF                     	              1	     0.064
EUROPEAN UNION S HORIZON 2020 RESEARCH AND IN	              1	     0.064
NOVATION PROGRAM                             	               	          
EXCELLENCE LABORATORY STRUCTURING OF SOCIAL W	              1	     0.064
ORLDS SMS PROGRAM OF THE FRENCH STATE        	               	          
FACULTY OF PHYSICS MATHEMATICS AND OPTOMETRY 	              1	     0.064
THE UNIVERSITY OF LATVIA                     	               	          
FAIRBANK CENTER FOR CHINESE STUDIES          	              1	     0.064
FEDERAL MINISTRY OF ECONOMIC COOPERATION GIZ 	              1	     0.064
PROJECT                                      	               	          
FLEMISH GOVERNMENT DEPARTMENT EWI            	              1	     0.064
FLEMISH MINISTRY OF EDUCATION BELGIUM        	              1	     0.064
FLORIDA INSTITUTE FOR BUILT ENVIRONMENT RESIL	              1	     0.064
IENCE                                        	               	          
FMJH PROGRAM PGMO                            	              1	     0.064
FONDAZIONE CARIPLO                           	              1	     0.064
FONDAZIONE CARITRO                           	              1	     0.064
FONDO TERRITORI LAVORO E CONOSCENZA CGIL CSIL	              1	     0.064
AND UIL                                      	               	          
FONDS DE LA RECHERCHE SCIENTIFIQUE FNRS      	              1	     0.064
FORDHAM UNIVERSITY HIV AND DRUG ABUSE PREVENT	              1	     0.064
ION RESEARCH ETHICS TRAINING INSTITUTE       	               	          
FOUNDATION FOR INFORMED MEDICAL DECISION MAKI	              1	     0.064
NG                                           	               	          
FPU PROGRAM FROM THE SPANISH MINISTRY OF UNIV	              1	     0.064
ERSITIES                                     	               	          
FULBRIGHT COMMISSION                         	              1	     0.064
FUND OF THE STATE KEY LAB OF SOFTWARE DEVELOP	              1	     0.064
MENT ENVIRONMENT                             	               	          
FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQ	              1	     0.064
UISA DO ESTADO DO RIO DE JANEIRO FAPERJ      	               	          
FUNDAMENTAL RESEARCH FUND FOR THE CENTRAL UNI	              1	     0.064
VERSITIES                                    	               	          
FWO                                          	              1	     0.064
GENERALITAT DE CATALUNYA                     	              1	     0.064
GIPS SCHULE STIFTUNG GERMANY                 	              1	     0.064
GOBIERNO DE ARAGON                           	              1	     0.064
GRADUATE SCHOOL OF ARTS AND SCIENCES         	              1	     0.064
GRADUATE SCHOOL OF DECISION SCIENCES AT THE U	              1	     0.064
NIVERSITY OF KONSTANZ                        	               	          
GRADUATE SCHOOL OF DECISION SCIENCES AT THE U	              1	     0.064
NIVERSITY OF KONSTANZ GERMANY                	               	          
GRADUATE SCHOOL THESIS RESEARCH GRANT AT THE 	              1	     0.064
UNIVERSITY OF MINNESOTA                      	               	          
GRANT AGENCY OF MASARYK UNIVERSITY PERSPECTIV	              1	     0.064
ES OF EUROPEAN INTEGRATION IN THE CONTEXT OF GLOBAL POLITICS III	               	          
GRANT AGENCY OF THE CZECH REPUBLIC           	              1	     0.064
GREAT CITIES INSTITUTE                       	              1	     0.064
HANS BOCKLER STIFTUNG                        	              1	     0.064
HANS BUCKLER FOUNDATION HANS BOCKLER STIFTUNG	              1	     0.064
HARVARD UNIVERSITY                           	              1	     0.064
HERCULES FOUNDATION                          	              1	     0.064
HERTIE SCHOOL OF GOVERNANCE                  	              1	     0.064
HONG KONG RESEARCH GRANTS COUNCIL            	              1	     0.064
HORIZON 2020                                 	              1	     0.064
HSC RESEARCH AND DEVELOPMENT DIVISION UNITED 	              1	     0.064
KINGDOM                                      	               	          
HSE UNIVERSITY BASIC RESEARCH PROGRAM        	              1	     0.064
HUMANITIES AND SOCIAL SCIENCE FUND OF MINISTR	              1	     0.064
Y OF EDUCATION OF THE PEOPLE S REPUBLIC OF CHINA	               	          
HUNAN PROVINCE OF CHINA                      	              1	     0.064
HUNAN SCIENCE AND TECHNOLOGY PLAN PROJECT    	              1	     0.064
HUNGARIAN ACADEMY OF SCIENCES                	              1	     0.064
HUNGARIAN ACADEMY OF SCIENCES UNDER COMPETITI	              1	     0.064
ON AND NEGATIVE NETWORKS LENDIILET PROGRAM   	               	          
IAP RESEARCH NETWORK OF THE BELGIAN SCIENCE P	              1	     0.064
OLICY                                        	               	          
IAST                                         	              1	     0.064
IEA DE PARIS                                 	              1	     0.064
IMAGING CENTER FOR INTEGRATED BODY MIND AND C	              1	     0.064
ULTURE RESEARCH AT NATIONAL TAIWAN UNIVERSITY	               	          
INDIANA CLINICAL AND TRANSLATIONAL SCIENCES I	              1	     0.064
NSTITUTE NATIONAL INSTITUTES OF HEALTH NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES CLINICAL AND TRANSLATIONAL SCIENCES AWARD	               	          
INDIANA UNIVERSITY COLLABORATIVE RESEARCH AWA	              1	     0.064
RD                                           	               	          
INDIANA UNIVERSITY COLLABORATIVE RESEARCH GRA	              1	     0.064
NT                                           	               	          
INDIANA UNIVERSITY COLLABORATIVE RESEARCH GRA	              1	     0.064
NT THROUGH THE VICE PRESIDENT OF RESEARCH    	               	          
INSTITUTE FOR CYBERSCIENCE OF THE PENNSYLVANI	              1	     0.064
A STATE UNIVERSITY                           	               	          
INSTITUTE FOR POLICY COMMUNITY ENGAGEMENT    	              1	     0.064
INSTITUTE FOR RESEARCH ON RACE PUBLIC POLICY 	              1	     0.064
INSTITUTE OF PROSPECTIVE TECHNOLOGICAL STUDIE	              1	     0.064
S IPTS JOINT RESEARCH CENTER EUROPEAN COMMISSION	               	          
INTERDISCIPLINARY CENTRE FOR MATHEMATICAL AND	              1	     0.064
COMPUTATIONAL MODELLING AT THE UNIVERSITY OF WARSAW	               	          
INTERMINISTERIAL COMMISSION ON THE INTEGRATIO	              1	     0.064
N OF YOUNG PEOPLE FRANCE TELECOM RD          	               	          
INTERREG EUROPE                              	              1	     0.064
INTRA EUROPEAN FELLOWSHIP PROGRAM OF THE EURO	              1	     0.064
PEAN UNION                                   	               	          
INTRAMURAL RESEARCH PROGRAM OF THE NATIONAL H	              1	     0.064
UMAN GENOME RESEARCH INSTITUTE AT THE NATIONAL INSTITUTES OF HEALTH	               	          
IRD RESEARCH INSTITUTE FOR DEVELOPMENT       	              1	     0.064
IRISH RESEARCH COUNCIL FOR SCIENCE ENGINEERIN	              1	     0.064
G AND TECHNOLOGY                             	               	          
ISRAEL SCIENCE FOUNDATION                    	              1	     0.064
ITALIAN MINISTRY OF EDUCATION                	              1	     0.064
JIANGSU UNIVERSITY OVERSEAS TRAINING PROGRAM 	              1	     0.064
JOHN D AND KATHERINE T MACARTHUR FOUNDATION  	              1	     0.064
JOHN TEMPLETON FOUNDATION                    	              1	     0.064
JOINT INSTITUTE FOR MARINE AND ATMOSPHERIC RE	              1	     0.064
SEARCH                                       	               	          
KONE FOUNDATION                              	              1	     0.064
KU LEUVEN GRANT                              	              1	     0.064
LA CAIXA FOUNDATION                          	              1	     0.064
LABEX SMS TOULOUSE                           	              1	     0.064
LEIBNIZ ASSOCIATION LEIBNIZ COMPETITION      	              1	     0.064
LEIDEN UNIVERSITY                            	              1	     0.064
LENDULET GRANT OF THE HUNGARIAN ACADEMY OF SC	              1	     0.064
IENCES                                       	               	          
LINKS CENTER FOR SOCIAL NETWORK ANALYSIS GATT	              1	     0.064
ON COLLEGE OF BUSINESS UNIVERSITY OF KENTUCKY LEXINGTON KY USA	               	          
LINKS CENTER FOR SOCIAL NETWORK ANALYSIS UNIV	              1	     0.064
ERSITY OF KENTUCKY                           	               	          
MACQUARIE UNIVERSITY                         	              1	     0.064
MAISON DES SCIENCES DE L HOMME PARIS SACLAY  	              1	     0.064
MAJOR PROGRAM OF NATIONAL SOCIAL SCIENCE FUND	              1	     0.064
OF CHINA                                     	               	          
MARYLAND SEA GRANT                           	              1	     0.064
MASSACHUSETTS INSTITUTE OF TECHNOLOGY        	              1	     0.064
MAXPO RESEARCH INSTITUTE IN PARIS            	              1	     0.064
MERSHON CENTER FOR STUDENT RESEARCHGRANT     	              1	     0.064
MINERVA STIFTUNG                             	              1	     0.064
MINISTRY OF EDUCATION CHINA                  	              1	     0.064
MINISTRY OF EDUCATION MOE REPUBLIC OF KOREA  	              1	     0.064
MINISTRY OF EDUCATION UNIVERSITIES AND RESEAR	              1	     0.064
CH MIUR                                      	               	          
MINISTRY OF EDUCATION YOUTH SPORTS CZECH REPU	              1	     0.064
BLIC                                         	               	          
MINISTRY OF SCIENCE AND TECHNOLOGY IN TAIWAN 	              1	     0.064
ROC                                          	               	          
MINISTRY OF SCIENCE ICT MSIT REPUBLIC OF KORE	              1	     0.064
A                                            	               	          
MINISTRY OF SCIENCE RESEARCH AND THE ARTS BAD	              1	     0.064
EN WURTTEMBERG                               	               	          
MSH PARIS SACLAY                             	              1	     0.064
MULTIDISCIPLINARY PROGRAM IN INEQUALITY AND S	              1	     0.064
OCIAL POLICY                                 	               	          
NATIONAL ACADEMIES OF SCIENCE ENGINEERING AND	              1	     0.064
MEDICINE FORD FOUNDATION                     	               	          
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	              1	     0.064
THROUGH A GRANT UNDER THE CARBON MONITORING SYSTEM SCIENCE AREA EARTH SCIENCE DIRECTORATE	               	          
NATIONAL AUSTRALIAN UNIVERSITY IN CANBERRA   	              1	     0.064
NATIONAL DRUG LAW ENFORCEMENT RESEARCH FUND  	              1	     0.064
NATIONAL FAMILY ALLOWANCE OFFICE CNAF        	              1	     0.064
NATIONAL INSTITUTE ALLERGY AND INFECTIOUS DIS	              1	     0.064
EASES OF THE NATIONAL INSTITUTES OF HEALTH   	               	          
NATIONAL INSTITUTE ON AGING AT THE UNIVERSITY	              1	     0.064
OF NORTH CAROLINA AT CHAPEL HILL             	               	          
NATIONAL INSTITUTE ON AGING UNITED STATE     	              1	     0.064
NATIONAL INSTITUTE ON MINORITY HEALTH AND HEA	              1	     0.064
LTH DISPARITIES UNITED STATES                	               	          
NATIONAL INSTITUTES OF HEALTH NATIONAL CENTER	              1	     0.064
FOR ADVANCING TRANSLATIONAL SCIENCES CLINICAL AND TRANSLATIONAL SCI ENCES AWARD	               	          
NATIONAL INSTITUTES OF HEALTH RESEARCH NIHR  	              1	     0.064
NATIONAL INSTITUTES ON DRUG ADDICTION USA    	              1	     0.064
NATIONAL INSTITUTIE ON AGING UNITED STATES   	              1	     0.064
NATIONAL NATURAL SCIENCE FOUNDATION OF GUANGD	              1	     0.064
ONG PROVINCE                                 	               	          
NATIONAL NUCLEAR SECURITY ADMINISTRATION NNSA	              1	     0.064
OF THE UNITED STATES DEPARTMENT OF ENERGY DOE	               	          
NATIONAL PROGRAM FOR SUPPORT OF TOP NOTCH YOU	              1	     0.064
NG PROFESSIONALS OF CHINA                    	               	          
NATIONAL RESEARCH COUNCIL RESEARCH ASSOCIATES	              1	     0.064
